Rank,Company,Year,Country,Region,Industry,R&D (€ million),R&D one-year growth (%),Net sales (€ million),Net sales one-year growth (%),R&D intensity (%),Capex (€ million),Capex one-year growth (%),Capex intensity (%),Op. profits (€ million),Op. profits one-year growth (%),Profitability (%),Employees,Employees one-year growth (%),Market cap (€ million),Market cap one-year growth (%)
1289,ORANO,2022,France,EU,Alternative Energy,128,18.5,4237,-10.3,3.0,704,18.9,16.6,59,-92.3,1.4,18835,0.0,,
1290,JUNGHEINRICH,2022,Germany,EU,Automobiles & Parts,127.865,24.9,4763.294,12.3,2.7,103.371,15.6,2.2,380.656,5.9,8.0,19807,3.7,1172.160004,-46.5
1291,HOYUAN GREEN ENERGY,2022,China,China,Industrial Engineering,127.756767,153.0,2909.589948,99.7,4.4,128.346942,12.6,4.4,462.151631,101.2,15.9,7245,34.9,6946.199547,57.2
1292,AVERY DENNISON,2022,US,US,Chemicals,127.601779,-0.4,8474.877068,7.5,1.5,260.735157,9.1,3.1,1007.594657,1.3,11.9,36000,0.0,13988.66254,-20.1
1293,OCADO,2022,UK,RoW,Food & Drug Retailers,127.513943,24.3,2844.228498,0.6,4.5,734.082046,16.1,25.8,-512.092377,242.4,-18.0,21399,6.3,6776.767079,-60.4
1294,TOPSEC TECHNOLOGIES,2022,China,China,Technology Hardware & Equipment,127.486214,3.6,471.296656,6.0,27.1,62.342707,-10.4,13.2,35.314274,-14.5,7.5,6496,3.6,1541.465733,-43.0
1295,LARGAN PRECISION,2022,Taiwan,RoW,Leisure Goods,126.826684,15.3,1455.592649,1.5,8.7,252.09764,39.7,17.3,623.100282,-12.0,42.8,,,7966.562902,-27.4
1296,HAISCO PHARMACEUTICAL,2022,China,China,Pharmaceuticals & Biotechnology,126.808195,18.0,397.575745,8.2,31.9,93.966199,-0.4,23.6,24.794449,56.2,6.2,4726,11.3,1205.991584,12.2
1297,CHINOOK THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,126.651095,56.1,5.745361,-88.1,2204.4,1.549785,-12.0,27.0,-173.526232,86.9,-3020.3,214,55.1,1076.024088,88.9
1298,LATTICE SEMICONDUCTOR,2022,US,US,Technology Hardware & Equipment,126.301385,22.9,619.122711,28.1,20.4,21.880751,137.3,3.5,178.538422,85.0,28.8,949,10.9,6939.22572,-12.6
1299,SHENGYI TECHNOLOGY,2022,China,China,Industrial Metals & Mining,126.125601,-2.1,2361.868812,-10.1,5.3,205.891499,-14.1,8.7,263.368187,-38.5,11.2,11633,1.6,4956.25156,-31.7
1300,SHIMIZU,2022,Japan,Japan,Construction & Materials,125.950255,9.5,13668.03407,30.4,0.9,484.68231,-37.5,3.5,386.247449,21.0,2.8,19869,1.1,4269.036506,-3.0
1301,CARGURUS,2022,US,US,Software & Computer Services,125.913236,10.9,1551.692959,74.0,8.1,5.554099,-23.2,0.4,101.704525,-26.8,6.6,1403,16.6,1800.383074,-37.1
1302,TASLY PHARMACEUTICAL,2022,China,China,Pharmaceuticals & Biotechnology,125.794016,42.6,1131.188553,8.3,11.1,54.14477,-29.4,4.8,137.932026,-2.1,12.2,9183,-2.7,2042.868647,-23.5
1303,KARL STORZ,2022,Germany,EU,Health Care Equipment & Services,125.791016,5.2,1979.805736,12.3,6.4,,,,253.991454,20.0,12.8,7492,0.1,,
1304,DAEWOONG,2022,South Korea,RoW,Pharmaceuticals & Biotechnology,125.683907,26.5,1255.705019,12.3,10.0,87.018382,1.8,6.9,153.387584,13.5,12.2,,,1043.087479,-33.2
1305,INTRA-CELLULAR,2022,US,US,Pharmaceuticals & Biotechnology,125.195065,53.9,234.684143,198.7,53.3,0.72942,138.8,0.3,-247.164928,-7.7,-105.3,561,9.6,4448.372006,75.7
1306,PAYONEER,2022,US,US,Support Services,125.042243,40.7,588.433592,32.6,21.3,9.848119,52.4,1.7,-20.826935,-26.5,-3.5,2336,24.9,2150.224143,-34.0
1307,VIVENDI,2022,France,EU,Media,125,22.5,10384,8.5,1.2,385,-12.1,3.7,479,-98.1,4.6,38315,6.7,10036.91888,-72.0
1308,TIETOEVRY,2022,Finland,EU,Software & Computer Services,125,-1.6,2928.1,3.7,4.3,95.4,18.1,3.3,255.9,-5.4,8.7,24320,-0.3,3022.22573,-15.4
1309,GENTEX,2022,US,US,Automobiles & Parts,124.984868,13.2,1799.136381,10.8,6.9,140.675449,101.8,7.8,346.902567,-9.7,19.3,5466,9.4,6016.022569,-12.8
1310,HUA HONG SEMICONDUCTOR,2022,China,China,Technology Hardware & Equipment,124.936299,69.2,2320.916053,51.8,5.4,933.979399,6.1,40.2,566.292198,127.7,24.4,6753,11.0,3627.32223,-49.3
1311,BUCHER INDUSTRIES,2022,Switzerland,RoW,Automobiles & Parts,124.804766,4.1,3652.545043,13.2,3.4,95.659959,31.7,2.6,430.672918,20.6,11.8,14876,9.7,3643.100907,-24.4
1312,CHONG KUN DANG PHARMACEUTICAL,2022,South Korea,RoW,Pharmaceuticals & Biotechnology,124.685711,9.0,1101.089714,10.8,11.3,39.257688,2.4,3.6,81.309411,16.0,7.4,,,761.834126,-30.1
1313,TYLER TECHNOLOGIES,2022,US,US,Software & Computer Services,124.51346,15.3,1734.675412,16.2,7.2,21.122266,-33.6,1.2,205.371361,4.8,11.8,7200,5.9,14483.34903,-22.1
1314,SHENZHEN KANGTAI BIOLOGICAL,2022,China,China,Pharmaceuticals & Biotechnology,124.293492,36.0,417.21711,-14.3,29.8,175.861696,-48.4,42.2,-3.984827,-101.9,-1.0,2018,-17.5,3905.102433,-55.0
1315,ZEON,2022,Japan,Japan,Chemicals,124.253955,10.8,2746.69094,7.4,4.5,166.548362,1.2,6.1,55.051994,-81.8,2.0,4293,7.8,2178.591959,-10.9
1316,VENUSTECH,2022,China,China,Software & Computer Services,124.147755,11.3,586.678685,1.3,21.2,31.751389,-48.6,5.4,87.270155,-28.8,14.9,6903,4.8,1828.710861,-37.1
1317,RAYDIUM SEMI-CONDUCTOR,2022,Taiwan,RoW,Electronic & Electrical Equipment,123.968729,-3.3,696.793189,-8.1,17.8,2.480189,-77.8,0.4,111.757899,-29.5,16.0,,,641.521265,
1318,HANKOOK TIRE & TECHNOLOGY,2022,South Korea,RoW,Automobiles & Parts,123.889739,5.7,6210.10069,17.5,2.0,227.648739,-9.2,3.7,522.170047,9.9,8.4,,,3477.882152,-18.6
1319,FORTRESS BIOTECH,2022,US,US,Pharmaceuticals & Biotechnology,123.874982,22.8,71.013531,10.1,174.4,2.545472,-40.5,3.6,-190.85326,13.7,-268.8,187,8.1,,
1320,MONDAY.COM,2022,Israel,RoW,Software & Computer Services,123.737161,70.5,486.62031,68.4,25.4,17.814558,38.1,3.7,-142.523031,20.5,-29.3,1549,45.6,4788.922911,-69.2
1321,NHK SPRING,2022,Japan,Japan,Automobiles & Parts,123.709726,8.9,4899.804195,18.1,2.5,187.603682,13.6,3.8,164.696568,63.6,3.4,17612,-0.5,1627.067642,19.6
1322,LUMIRADX,2022,UK,RoW,Electronic & Electrical Equipment,123.449331,5.6,238.586264,-39.6,51.7,23.423036,-76.5,9.8,-301.375527,121.1,-126.3,1120,-26.0,57.262716,
1323,HEIDELBERG MATERIALS,2022,Germany,EU,Construction & Materials,123.4,-0.2,21095.1,12.7,0.6,1300.1,-6.6,6.2,2255.4,-26.7,10.7,50780,-0.8,8737.408475,-39.9
1324,SUMITOMO HEAVY INDUSTRIES,2022,Japan,Japan,Industrial Engineering,123.200836,-13.6,6036.65721,-9.5,2.0,258.289906,-19.9,4.3,166.951233,-63.8,2.8,25211,2.6,2553.066868,2.0
1325,BETTA PHARMACEUTICALS,2022,China,China,Pharmaceuticals & Biotechnology,122.995291,11.0,312.016172,6.1,39.4,135.619801,33.2,43.5,27.49493,-46.3,8.8,1961,16.9,2528.616317,-38.2
1326,CHINA TRANSINFO TECHNOLOGY,2022,China,China,Software & Computer Services,122.859883,-12.7,932.705327,-32.1,13.2,52.37715,-13.3,5.6,-35.187987,-133.3,-3.8,7100,0.1,1789.865721,-29.3
1327,CORCEPT THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,122.81179,15.0,376.765584,9.8,32.6,0.387211,-11.9,0.1,105.60102,-9.5,28.0,299,25.6,2592.775425,12.1
1328,HANMI PHARM,2022,South Korea,RoW,Pharmaceuticals & Biotechnology,122.780527,8.8,985.089164,10.7,12.5,36.689368,44.1,3.7,116.956517,26.1,11.9,,,2806.784898,1.7
1329,FULL TRUCK,2022,China,China,Software & Computer Services,122.68401,25.3,903.691459,44.6,13.6,11.499524,98.3,1.3,4.330808,-100.9,0.5,6795,-4.3,7372.967234,-47.5
1330,SINOCELLTECH,2022,China,China,Pharmaceuticals & Biotechnology,122.666235,31.1,136.099049,677.5,90.1,74.457564,186.2,54.7,-36.603452,-67.4,-26.9,1868,38.1,621.236811,
1331,EAST MONEY INFORMATION,2022,China,China,Financial Services,122.60723,30.0,606.225434,-14.7,20.2,82.879893,-55.4,13.7,1153.319696,-6.8,190.2,6205,8.9,33037.15738,-6.8
1332,CALIX,2022,US,US,Technology Hardware & Equipment,122.345824,29.8,813.639014,27.7,15.0,13.188642,34.4,1.6,49.324978,-28.1,6.1,1426,49.5,3599.668025,29.8
1333,BARCO,2022,Belgium,EU,Electronic & Electrical Equipment,122.107,20.5,1058.291,31.6,11.5,,,,86.816,635.5,8.2,3299,5.3,2064.607788,7.8
1334,CRINETICS PHARMACEUTICALS,2022,US,US,Pharmaceuticals & Biotechnology,122.09362,54.6,4.441216,339.4,2749.1,1.552597,279.8,35.0,-157.39928,55.9,-3544.1,210,46.9,951.484005,11.7
1335,GEORG FISCHER,2022,Switzerland,RoW,Industrial Engineering,121.859821,6.2,4059.963045,7.4,3.0,162.479761,18.5,4.0,407.214902,41.2,10.0,15207,0.6,4430.981047,-29.2
1336,CHINA ALUMINUM INTERNATIONAL ENGINEERING,2022,China,China,Construction & Materials,121.768316,21.0,3127.786741,-0.9,3.9,598.884667,-4.6,19.1,62.406723,-7369.2,2.0,12219,-2.2,74.829712,-7.1
1337,MALLINCKRODT,2022,Ireland,EU,Pharmaceuticals & Biotechnology,121.601402,-36.8,974.780092,-52.9,12.5,58.316169,12.5,6.0,-296.924935,559.8,-30.5,2700,-3.6,209.924939,
1338,HBM,2022,US,US,Pharmaceuticals & Biotechnology,121.445767,27.0,38.120211,843.8,318.6,16.797307,33.2,44.1,-113.468077,-14.0,-297.7,216,-41.6,282.164163,-58.0
1339,NINGBO SHANSHAN,2022,China,China,Personal Goods,121.196475,37.4,2854.318925,4.8,4.2,577.622906,212.2,20.2,441.619411,0.3,15.5,7543,26.1,5772.999898,-24.8
1340,RSA INSURANCE,2022,UK,RoW,Nonlife Insurance,121.064702,11.5,3535.768182,-2.6,3.4,30.549037,107.7,0.9,85.989882,-150.0,2.4,6134,-28.6,,
1341,ALFA LAVAL,2022,Sweden,EU,Industrial Engineering,121.024082,21.9,4687.660129,27.4,2.6,166.610419,50.8,3.6,586.148583,6.4,12.5,20300,13.5,10624.38886,-19.5
1342,DIASORIN,2022,Italy,EU,Pharmaceuticals & Biotechnology,120.565,16.4,1361.138,10.0,8.9,53.195,-22.3,3.9,365.679,-13.7,26.9,3386,0.8,7326.424083,-32.2
1343,BLACKLINE,2022,US,US,Software & Computer Services,120.489457,39.2,490.285228,22.8,24.6,10.288772,25.7,2.1,-33.307721,-4.1,-6.8,1814,16.5,3798.321996,-36.4
1344,CNGR,2022,China,China,Electronic & Electrical Equipment,120.423077,19.7,3853.938265,46.1,3.1,1280.444967,91.0,33.2,317.442097,79.4,8.2,10140,0.3,2342.300171,119.1
1345,SINOSOFT,2022,China,China,Software & Computer Services,120.358453,6.5,893.341403,6.8,13.5,4.361273,-58.1,0.5,86.960945,6.8,9.7,19912,2.4,,
1346,U-BLOX,2022,Switzerland,RoW,Electronic & Electrical Equipment,120.318294,9.2,633.520776,50.7,19.0,7.96557,26.6,1.3,123.665377,370.5,19.5,,,979.953053,106.3
1347,SPECTRIS,2022,UK,RoW,Electronic & Electrical Equipment,120.27269,19.3,1585.495025,8.5,7.6,50.801917,27.2,3.2,209.43062,15.8,13.2,7608,-1.3,3335.271077,-33.5
1348,VERVE THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,120.151936,87.9,1.819802,,6602.5,12.40578,203.6,681.7,-155.341338,90.3,-8536.2,204,80.5,2162.694461,-31.3
1349,EPIROC,2022,Sweden,EU,Industrial Engineering,120.035029,20.6,4468.180348,25.3,2.7,53.948327,22.7,1.2,977.813444,22.3,21.9,16996,9.4,12121.22514,-13.6
1350,ADIENT,2022,Ireland,EU,Automobiles & Parts,120.007552,20.8,13239.27064,3.2,0.9,212.825893,-12.7,1.6,266.266756,-83.8,2.0,75000,0.0,2951.260987,-15.1
1351,ASTRA SPACE,2022,US,US,Aerospace & Defence,119.975674,84.7,8.784927,,1365.7,44.649372,24.2,508.2,-392.698462,171.0,-4470.1,359,10.8,169.242577,-90.5
1352,ETABLISSEMENTEN FRANZ COLRUYT,2022,Belgium,EU,General Retailers,119.8,57.8,10819.8,7.7,1.1,,,,270.3,-27.0,2.5,31461,1.1,3704.668765,-42.6
1353,ZIPRECRUITER,2022,US,US,General Retailers,119.760973,15.6,848.161811,22.1,14.1,2.523908,-55.7,0.3,91.156986,-1258.6,10.7,1400,21.7,1306.168973,-33.4
1354,MAREL,2022,Iceland,RoW,Industrial Engineering,119.6,29.7,1708.7,25.6,7.0,52.8,14.5,3.1,97,-25.6,5.7,8018,12.3,2595.475636,-47.6
1355,MICROSTRATEGY,2022,US,US,Software & Computer Services,119.471268,8.8,468.089456,-2.3,25.5,2.330771,-8.1,0.5,-1196.083393,62.6,-255.5,2152,1.5,2027.047693,-60.0
1356,CHENG SHIN RUBBER,2022,Taiwan,RoW,Automobiles & Parts,119.448368,-9.8,3011.096975,-2.9,4.0,99.558092,-25.5,3.3,246.04619,-2.7,8.2,,,3508.311084,-4.8
1357,NEXTDOOR,2022,US,US,Software & Computer Services,119.419702,31.2,199.47974,10.7,59.9,2.963624,-64.3,1.5,-135.199758,52.1,-67.8,704,16.9,457.694606,15.0
1358,TAISEI,2022,Japan,Japan,Construction & Materials,119.179192,10.5,11610.54972,6.4,1.0,114.238719,22.2,1.0,384.81973,-42.8,3.3,14466,-0.4,6010.571516,9.9
1359,CIR,2022,Italy,EU,General Industrials,119.079,-9.6,2235.57,12.9,5.3,135.342,15.3,6.1,83.993,4.8,3.8,16743,-2.7,533.872673,25.8
1360,KRAFT HEINZ COMPANY,2022,US,US,Food Producers,119.069993,-9.3,24831.25012,1.7,0.5,858.804044,1.2,3.5,3629.290889,9.1,14.6,37000,2.8,42969.68694,4.1
1361,KELLOGG,2022,US,US,Food Producers,119.069993,-5.2,14358.71609,8.0,0.8,457.528792,-11.8,3.2,1692.293995,-0.1,11.8,30000,-3.2,23195.04634,14.9
1362,NISSAN CHEMICAL,2022,Japan,Japan,Chemicals,119.009562,5.1,1611.944163,9.7,7.4,128.890508,62.1,8.0,369.538897,2.6,22.9,2965,8.3,7060.78404,13.2
1363,SHANGHAI PUTAILAI NEW ENERGY,2022,China,China,Electronic & Electrical Equipment,118.996453,71.5,2056.110772,72.0,5.8,380.030535,6.0,18.5,509.292489,79.1,24.8,11278,37.7,11791.23359,-17.1
1364,I-MAB,2022,China,China,Pharmaceuticals & Biotechnology,118.801716,-26.7,0,-100.0,#NUM!,6.150633,53.1,#NUM!,-264.313127,-4.9,#NUM!,318,-15.9,474.986728,-90.7
1365,REMEGEN,2022,China,China,Pharmaceuticals & Biotechnology,118.477816,40.9,103.039559,-46.1,115.0,101.401984,22.8,98.4,-143.316481,-504.1,-139.1,3332,57.1,1022.115485,-55.3
1366,DIODES,2022,US,US,Electronic & Electrical Equipment,118.428702,6.0,1875.661784,10.8,6.3,198.507491,50.0,10.6,383.1738,48.0,20.4,8877,-0.5,3034.770229,-25.7
1367,PROTAGONIST THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,118.334009,0.2,24.921255,-2.8,474.8,0.745359,-27.8,3.0,-123.169938,4.4,-494.2,105,-11.0,401.28752,-81.4
1368,GREENLIGHT,2022,US,US,Pharmaceuticals & Biotechnology,118.254316,42.9,6.35665,325.1,1860.3,24.889378,75.3,391.5,-152.784614,50.1,-2403.5,262,,329.345782,
1369,INFOSYS,2022,India,RoW,Software & Computer Services,118.007165,13.0,16621.45644,20.7,0.7,292.073396,19.3,1.8,3568.414365,11.0,21.5,343234,9.3,71154.97241,-13.5
1370,NGM BIOPHARMACEUTICALS,2022,US,US,Pharmaceuticals & Biotechnology,117.883043,50.0,51.877952,-29.0,227.2,1.741984,10.3,3.4,-155.868246,37.7,-300.5,239,6.2,1063.156903,-32.8
1371,VISIONOX TECHNOLOGY,2022,China,China,Food Producers,117.842443,-4.1,872.028645,58.8,13.5,154.26563,40.0,17.7,-269.35764,30.2,-30.9,5746,-12.9,1148.719268,-30.0
1372,REWE-ZENTRALFINANZ,2022,Germany,EU,Banks,117.6,37.2,,,,,,,1362.7,-8.1,,,,,
1373,LIANCHUANG ELECTRONIC TECHNOLOGY,2022,China,China,Personal Goods,117.570093,-9.7,1419.271741,6.1,8.3,179.695945,29.1,12.7,63.388704,30.7,4.5,8903,5.9,2294.679823,-2.4
1374,VIMEO,2022,US,US,Software & Computer Services,117.550209,18.7,405.989298,10.6,29.0,0.751922,80.2,0.2,-73.837459,29.1,-18.2,1236,1.4,871.31416,-84.3
1375,TG THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,117.524895,-43.7,2.611101,-58.4,4501.0,0.013125,-96.5,0.5,-180.79794,-44.1,-6924.2,226,-21.0,971.127342,-73.0
1376,HUNTSMAN,2022,US,US,Chemicals,117.194875,-16.7,7522.035857,4.6,1.6,255.016048,-20.5,3.4,710.669722,2.0,9.4,7000,-22.2,5291.064563,-3.8
1377,SCHRODINGER,2022,US,US,Software & Computer Services,117.104869,38.6,169.655988,31.2,69.0,7.513597,11.8,4.4,-137.649599,31.7,-81.1,787,18.5,1595.782123,-53.7
1378,HEIDELBERGER DRUCKMASCHINEN,2022,Germany,EU,Industrial Engineering,117,17.1,2435,11.5,4.8,78,40.7,3.2,101,77.9,4.1,9944,-2.3,449.106905,-37.6
1379,ICU MEDICAL,2022,US,US,Health Care Equipment & Services,116.997987,71.3,2137.631707,73.2,5.5,84.67189,31.8,4.0,26.741995,-79.8,1.3,14500,70.6,3562.72568,-10.1
1380,SYMBOTIC,2022,US,US,Industrial Engineering,116.389511,69.2,556.265005,#NUM!,20.9,16.829184,,3.0,-131.609844,2062.3,-23.7,1120,55900.0,634.09986,110.2
1381,LKAB,2022,Sweden,EU,Mining,116.34856,10.9,4184.861712,-4.6,2.8,444.534222,47.2,10.6,1873.355687,,44.8,4513,1.0,,
1382,HALMA,2022,UK,RoW,Electronic & Electrical Equipment,116.31263,20.4,2096.342812,21.5,5.5,32.811928,15.1,1.6,347.580155,10.3,16.6,8141,8.2,8913.123559,-30.9
1383,LYONDELLBASELL INDUSTRIES,2022,Netherlands,EU,Chemicals,116.257316,0.0,48508.3651,9.6,0.2,1775.736746,-14.0,3.7,4661.543348,-42.2,9.6,19300,1.0,25384.50204,-19.3
1384,WEG,2022,Brazil,RoW,Industrial Engineering,116.253649,17.9,5374.142963,26.9,2.2,199.733978,42.3,3.7,907.81485,21.5,16.9,39137,5.8,21339.01069,-20.4
1385,REPLIMUNE GROUP,2022,US,US,Pharmaceuticals & Biotechnology,115.89448,61.9,0,,,2.128258,-2.8,,-166.022947,49.7,,284,37.9,881.105126,-36.7
1386,SHENZHEN SALUBRIS PHARMACEUTICALS,2022,China,China,Pharmaceuticals & Biotechnology,115.73271,34.1,450.09918,12.7,25.7,80.383672,24.1,17.9,78.230615,30.3,17.4,3454,6.7,3824.561076,7.5
1387,NUSCALE POWER,2022,US,US,Electricity,115.709781,32.5,11.066946,312.4,1045.5,2.186387,19.5,19.8,-215.633882,32.0,-1948.4,556,27.5,546.62259,189.0
1388,GLAUKOS,2022,US,US,Health Care Equipment & Services,115.573835,22.1,265.199813,-3.8,43.6,28.375223,-36.7,10.7,-105.300063,83.0,-39.7,783,7.7,2154.551844,-17.2
1389,PERRIGO,2022,Ireland,EU,Pharmaceuticals & Biotechnology,115.413512,0.9,4173.637644,7.6,2.8,90.380687,-36.6,2.2,113.819662,-79.2,2.7,8900,-10.1,4722.864723,-8.0
1390,RED BULL TECHNOLOGY,2022,UK,RoW,Automobiles & Parts,114.52834,-8.4,386.151143,8.2,29.7,,,,16.577944,24.7,4.3,773,-17.2,,
1391,37,2022,China,China,Automobiles & Parts,114.334454,-28.3,2197.502748,1.2,5.2,42.941839,-6.4,2.0,430.141762,6.6,19.6,3552,-11.1,4298.117229,30.9
1392,PROTHENA,2022,Ireland,EU,Pharmaceuticals & Biotechnology,114.107493,506.0,50.539117,-73.1,225.8,0.435027,-19.3,0.9,-123.342449,-282.8,-244.1,127,54.9,1212.884705,-56.4
1393,COGENT BIOSCIENCES,2022,US,US,Pharmaceuticals & Biotechnology,114.032488,117.5,0,,,6.434467,299.2,,-138.982808,96.2,,138,79.2,1016.645655,228.6
1394,PRYSMIAN,2022,Italy,EU,Electronic & Electrical Equipment,114,5.6,16067,26.2,0.7,429,66.3,2.7,848,48.8,5.3,436,-98.5,8207.895534,-4.0
1395,SOPRA STERIA,2022,France,EU,Software & Computer Services,114,-16.8,5101.2,8.9,2.2,94.2,72.5,1.8,366.5,16.1,7.2,49690,4.7,2835.582738,-20.0
1396,SUZHOU DONGSHAN PRECISION MANUFACTURING COPANY,2022,China,China,Technology Hardware & Equipment,113.916441,-12.6,4206.691148,-0.8,2.7,452.947287,10.7,10.8,487.543429,34.6,11.6,21021,5.3,4825.021689,34.8
1397,JFROG,2022,Israel,RoW,Software & Computer Services,113.655589,52.3,262.554022,35.5,43.3,4.057755,2.4,1.5,-84.2303,31.4,-32.1,1300,30.0,1969.311754,-43.0
1398,INDIE SEMICONDUCTOR,2022,US,US,Electronic & Electrical Equipment,113.629338,108.5,103.878724,128.9,109.4,7.095446,182.2,6.8,-111.689528,59.3,-107.5,600,50.0,955.184586,4.8
1399,TRINET GROUP,2022,US,US,Support Services,113.444639,45.8,4579.975715,7.6,2.5,52.503304,40.0,1.1,467.841941,9.7,10.2,3600,28.6,4799.148419,-15.6
1400,OUTSYSTEMS,2022,Luxembourg,EU,Financial Services,113.416,36.2,276.484,15.8,41.0,,,,-74.284,-1328.2,-26.9,,,,
1401,GUANGZHOU TINCI MATERIALS TECHNOLOGY,2022,China,China,General Retailers,113.356146,136.8,2949.909413,101.0,3.8,494.041387,128.6,16.7,915.365451,145.6,31.0,6002,49.3,8849.997369,-47.7
1402,YOKOHAMA RUBBER,2022,Japan,Japan,Automobiles & Parts,113.326958,4.8,6081.778783,28.3,1.9,384.339112,51.3,6.3,493.368778,-4.1,8.1,28468,4.6,2743.04281,21.9
1403,ENDO INTERNATIONAL,2022,Ireland,EU,Pharmaceuticals & Biotechnology,113.283378,-1.0,2174.082126,-22.5,5.2,96.439193,27.5,4.4,-2221.071645,-4665.9,-102.2,2861,-7.8,40.763115,-91.9
1404,TOYO SEIKAN,2022,Japan,Japan,General Industrials,113.256279,5.3,6403.708201,10.3,1.8,446.812418,33.7,7.0,52.281371,-76.8,0.8,19976,1.1,2375.827532,8.2
1405,HARMONIC,2022,US,US,Technology Hardware & Equipment,112.79491,17.7,585.934059,23.2,19.3,8.67242,-28.7,1.5,46.308851,153.4,7.9,1340,5.8,1103.085298,25.1
1406,TWIST BIOSCIENCE,2022,US,US,Pharmaceuticals & Biotechnology,112.79491,74.2,190.854197,53.8,59.1,95.496947,276.4,50.0,-233.471879,62.5,-122.3,989,51.7,2120.106181,-59.5
1407,WONIK IPS,2022,South Korea,RoW,Technology Hardware & Equipment,112.758082,4.3,748.304938,-17.9,15.1,55.765384,-25.3,7.5,72.171902,-40.6,9.6,,,1016.754902,-38.2
1408,GUANGXI LIUGONG MACHINERY,2022,China,China,General Industrials,112.695196,13.4,3460.567309,-8.2,3.3,95.928282,-21.7,2.8,161.653369,-22.7,4.7,16488,-3.7,793.651962,-52.4
1409,HOLITECH TECHNOLOGY,2022,China,China,Chemicals,112.639577,-17.3,1562.81664,-26.4,7.2,89.691623,-34.2,5.7,-196.710775,-345.8,-12.6,13322,-29.9,1260.195883,-13.0
1410,TRAVELSKY TECHNOLOGY,2022,China,China,Technology Hardware & Equipment,112.428636,-15.3,685.137679,-4.7,16.4,39.547918,-38.8,5.8,52.938129,177.5,7.7,6570,-0.6,1538.591195,-5.8
1411,WOODWARD,2022,US,US,Industrial Engineering,112.302692,2.3,2234.006209,6.1,5.0,49.566869,40.3,2.2,202.077716,-18.0,9.0,8300,15.3,5249.818375,-27.2
1412,NEUSOFT,2022,China,China,Software & Computer Services,112.086699,-0.6,1256.655581,8.4,8.9,98.905093,147.2,7.9,15.399802,-68.3,1.2,17905,-0.1,1717.260797,7.0
1413,SHERWIN WILLIAMS,2022,US,US,General Industrials,111.850788,2.9,20765.90054,11.1,0.5,604.256775,73.3,2.9,2815.395921,12.4,13.6,64366,4.4,56400.16315,-24.8
1414,KAKEN PHARMACEUTICAL,2022,Japan,Japan,Pharmaceuticals & Biotechnology,111.595318,87.5,515.844749,-4.0,21.6,14.043948,-33.5,2.7,43.375797,-56.4,8.4,1130,-2.9,1256.581774,-22.1
1415,ESPERION THERAPEUTICS,2022,US,US,Pharmaceuticals & Biotechnology,111.501079,12.2,70.762265,-3.8,157.6,,,,-168.292778,-15.9,-237.8,199,-8.7,465.474406,34.8
1416,ALLOVIR,2022,US,US,Pharmaceuticals & Biotechnology,111.447638,-1.5,0,,,0,-100.0,,-160.511975,0.8,,106,-0.9,655.266114,-44.2
1417,UDEMY,2022,US,US,Software & Computer Services,111.303254,50.3,589.815554,22.0,18.9,1.466342,-70.7,0.2,-138.749356,90.7,-23.5,1678,35.5,1945.68543,
1418,NOVOMATIC,2022,Austria,EU,Travel & Leisure,111.2,9.1,2504,35.9,4.4,2.928,-98.7,0.1,321.8,84.4,12.9,23177,10.5,,
1419,ELKEM,2022,Norway,RoW,Industrial Metals & Mining,111.156842,32.2,4280.631953,36.1,2.6,400.602035,29.0,9.4,1122.218186,105.6,26.2,7372,4.2,2411.432646,7.1
1420,SYNDAX PHARMA,2022,US,US,Pharmaceuticals & Biotechnology,111.099803,34.3,0,-100.0,,0,-100.0,,-142.281141,-678.8,,107,81.4,1252.1134,57.0
1421,FUJITSU GENERAL,2022,Japan,Japan,Construction & Materials,110.994546,7.7,2622.330965,30.6,4.2,29.487343,-8.4,1.1,96.102447,61.0,3.7,8335,-0.8,2289.041577,7.7
1422,COMPUTERSHARE,2022,Australia,RoW,Software & Computer Services,110.988234,17.5,2968.995274,23.6,3.7,39.275284,-2.1,1.3,672.617952,106.2,22.7,,,9472.117616,49.7
1423,JAMF,2022,US,US,Software & Computer Services,110.909479,45.6,448.880747,30.7,24.7,7.244518,-20.8,1.6,-125.198816,127.2,-27.9,2796,26.4,2710.030312,-30.7
1424,GRG BANKING EQUIPMENT,2022,China,China,Technology Hardware & Equipment,110.701082,6.7,998.493356,11.1,11.1,40.728255,15.5,4.1,140.394561,5.0,14.1,28270,2.3,2846.793093,-17.3
1425,CHEMOURS,2022,US,US,Chemicals,110.631962,10.3,6369.775846,7.1,1.7,287.830613,10.8,4.5,738.796492,15.5,11.6,6600,3.1,4906.074117,-5.5
1426,ASR MICROELECTRONICS,2022,China,China,Electronic & Electrical Equipment,110.303588,-4.1,286.899361,0.2,38.4,16.027078,-46.7,5.6,-47.403229,-37.2,-16.5,1110,8.5,359.216069,
