NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Eolink,The most cost-effective floating wind turbines,Europe,France,Brest,48.3615794,-4.5724665,1.0,sustainable development goals;wind energy;climate tech,energy,clean energy;water,early growth,Finistere Angels;Breizh Capital;Sofimac Innovation;Breizh Up;Acciona Energía,venture_capital;venture_capital;venture_capital;venture_capital;corporate,Rennes
3E,"3E provides solutions to improve renewable energy system performance (wind and solar PV), optimize energy consumption (building and site developments) and facilitate grid and market interaction",Europe,Belgium,Brussels,50.855058,4.348407,1.75,sustainable packaging;innovation radar;sustainable development goals;climate tech;esa;space tech;esa sme;space downstream;space tech to energy,energy,clean energy,late growth,European Innovation Council,government,Brussels
Haulogy,Publisher of software mainly dedicated to distribution grid operators and energy suppliers operating in the gas,Europe,Belgium,Brussels,50.601671,4.191064,7.5,energy tech;industrial technology,energy,,late growth,,,Charleroi
Zencar,Brussels-based carsharing service delivered through a 100% electric vehicle fleet and numerous charging stations,Europe,Belgium,Brussels,50.8154234,4.371465,1.9,car;car rental;car sharing;electric vehicle;sustainable development goals;micromobility;climate tech,energy;transportation,logistics & delivery;vehicle production,seed,Spreds;Inventures Investment Partners;MOOVEE MOBILITY,crowdfunding;venture_capital;corporate,Brussels
Green Group,"Combating waste and environment pollution, keeping products and materials in use and carbon efficiency",Europe,Romania,Bucharest,45.1371109,26.8171122,127.0,recycling;waste reduction,energy,waste solution,early growth,Abris Capital Partners;UniCredit;Raiffeisen Bank;BCR;ING Bank Corporate Finance;OTP Bank,private_equity;corporate;corporate;corporate;advisor;corporate,Bucharest
Poliloop,We make non-biodegradable plastics microbially biodegrade and then turn the byproducts into valuable end products,Europe,Hungary,Budapest,47.49973,19.05508,1.93,plastic;sustainable development goals;industrial technology;advanced materials;climate tech,energy,,seed,Techstars;RESPOND Accelerator;Plug and Play;Techstars Berlin;Techstars Dubai;Techstars Berlin Accelerator;Vespucci Partners,accelerator;accelerator;venture_capital;accelerator;accelerator;event;venture_capital,Budapest
Innowaste,Specializes in developing burning technology and processing sewage sludge,Europe,Hungary,Budapest,47.497912,19.040235,1.51,sustainable development goals;wastewater treatment;climate tech,energy,waste solution,mature,European Innovation Council,government,Budapest
Sinay,SINAY develops a Big Data solution applied to maritime industries and the study of the marine environment,Europe,France,Caen,49.201938,-0.3922621,2.09,marine;sustainable development goals;industrial analytics;industrial technology;space tech;climate tech;esa;esa sme;space downstream;space tech to maritime,energy,water,late growth,Mans Sarthe Investissements;Ouest Angels;Business Angels Des Grandes Ecoles;European Innovation Council;Alpana Ventures;Normandy Ventures;Crédit Agricole Regions Investment;BNP Paribas;Plug and Play;Ocean Solutions Accelerator;BADGE;Sustainable Ocean Alliance,angel_fund;angel_fund;angel_fund;government;venture_capital;venture_capital;corporate;corporate;venture_capital;accelerator;angel_fund;corporate,Rennes
Helioclim,"Innovative solution for reversible climate control, supplied by concentrative thermic solar energy systems",Europe,France,Cannes,43.569123,6.944906,1.8,solar energy;sustainable development goals;climate tech,energy,clean energy,early growth,Région Sud Investissement;Rhone-Alpes Creation;Arts&Metiers Business Angels,venture_capital;venture_capital;venture_capital,Nice
Solean,We help you produce photovoltaic panels more economically with greater agility and higher yields,Europe,France,Chambery,45.6462379,5.8671749,2.0,solar energy;sustainable development goals;climate tech,energy,clean energy,seed,EIT InnoEnergy;Savoie Mont Blanc Angels,venture_capital;angel_fund,Grenoble
OSMOSUN® by Mascara,"Developed the world’s first industrialized reverse osmosis desalination technology coupled with photovoltaic solar energy, without battery, supplying everyone, everywhere, with drinking water at a competitive price without CO2 emissions",Europe,France,Chartres,48.4344913,1.5283062,2.2,solar energy;sustainable development goals;desalination;climate tech,food;energy,water,early growth,GO Capital;Wiseed;GAIA impact fund,venture_capital;crowdfunding;venture_capital,Paris
Geocollect,GeoCollect designs and develops absorber systems for homes and buildings,Europe,Germany,Chemnitz,50.8376124,12.89335179,0.91,geothermal energy;water heating;sustainable development goals;climate tech,real estate;energy,construction;energy efficiency,seed,European Innovation Council,government,Dresden
RecyOuest,Offers recycling services to organizations in charge of collecting agricultural plastic waste,Europe,France,Cherbourg,49.6561,-1.268764,3.0,sustainable development goals;climate tech,food;energy,waste solution;agritech,seed,Caisse des depots,government,Rennes
NAWA Technologies,"Innovative, economically competitive, reliable and environmentally friendly Ultra-Fast Carbon battery and applied nanotechnology",Europe,France,Cherbourg,49.5155633,-1.3708264,43.5,battery;sustainable development goals;ev battery other chemistry;space tech;ev battery;climate tech;space upstream;materials for space;space vehicles components and payloads,energy;space,energy efficiency;energy storage,late growth,EIT InnoEnergy;Demeter Partners;CEA Investissement;Région Sud Investissement;Eurostars SME programme;Bpifrance;CAAP Creation;Supernova Invest;Eurowatt;Turenne Capital;Kouros SA;Opus Consulting Solutions;Altya Invest,"venture_capital;private_equity,venture_capital;venture_capital;venture_capital;government;venture_capital;venture_capital;venture_capital;corporate;venture_capital;corporate;corporate;venture_capital",Rennes
Carbios,"Creates a new generation of fully biodegradable plastics with a controlled lifespan, a process enabling infinite biorecycling of plastic waste",Europe,France,Clermont-Ferrand,45.850026,3.166847,7.4,recycling;waste reduction;polymer;chemical;plastic;sustainable development goals;advanced materials;industrial technology;innovative material tech;polymers and polymer alternatives;chemistry;climate tech;biotechnology,energy,waste solution,late growth,Truffle Capital;Investments for the Future (PIA);Nestlé;PepsiCo;Suntory Holdings,"private_equity,venture_capital;venture_capital;corporate;corporate;corporate",Lyon
"Eneida Wireless & Sensors, S.A.",Grid optimisation software and sensor networks,Europe,Portugal,Coimbra,40.192167,-8.414164,7.21,optimization;remote;smart sensor;energy tech;industrial technology,energy,energy efficiency,late growth,Portugal Ventures;EIT InnoEnergy;HCapital Partners;Korys;200M;InnoEnergy GmbH,"venture_capital;venture_capital;private_equity,venture_capital;family_office;venture_capital;venture_capital",Porto
EINHUNDERT,Digital green electricity supplier,Europe,Germany,Cologne,50.9488,6.9110374,8.0,sustainable development goals;climate tech,real estate;energy,energy providers;clean energy,late growth,NRW.BANK;High Rise Ventures;Wi Venture;Übermorgen Ventures;TechQuartier;Clima Now;EWE AG,investment fund;venture_capital;venture_capital;venture_capital;accelerator;corporate;corporate,Cologne
GreenPocket,Energy management software that can sustainably improve their energy efficiency with residential and commercial customers,Europe,Germany,Cologne,50.966436,7.0099492,7.7,sustainable development goals;energy tech;industrial technology;climate tech,real estate;energy,energy efficiency,early growth,Intelligent Venture Capital;Betafabrik,venture_capital;accelerator,Cologne
Sunvigo,Offers a solar system for free combined with a flexible electricity contract,Europe,Germany,Cologne,50.937531,6.9602786,14.1,solar energy;sustainable development goals;climate tech,energy,energy providers;clean energy,late growth,Übermorgen Ventures;Ecosummit Ventures Management;High-Tech Gründerfonds;Sparta Capital;Eneco group;Deutsche Kreditbank,venture_capital;corporate;venture_capital;venture_capital;corporate_venture_fund;corporate,Cologne
Installion,Installion is an innovative start-up with the aim of digitizing the energy industry by placing our partners' orders with competent electricians,Europe,Germany,Cologne,50.9281109,7.0611421,4.0,sustainable development goals;climate tech,energy,clean energy,early growth,Christoph Ostermann;Eneco Energy Ventures,angel;corporate_venture_fund,Cologne
Envelio,"A software company that provides solutions for the energy sector and is based in Cologne, Germany",Europe,Germany,Cologne,50.9409967,6.8883915,8.07,smart grid;sustainable development goals;energy tech;industrial technology;climate tech;spinout,energy,energy efficiency,late growth,High-Tech Gründerfonds;Demeter Partners;ECapital;RWTH Aachen University;EIT Climate-KIC;Eon UK PLC;ECAPITAL;European Innovation Council,"venture_capital;private_equity,venture_capital;corporate;university;accelerator;corporate;venture_capital;government",Cologne
Soltiles,SolTiles creates innovative solar roofing technology- to retrofit an existing residence or for a new build,Europe,France,Compiegne,49.406365,2.793681,4.34,sustainable development goals;solar energy;climate tech,energy;home living,clean energy;energy efficiency,seed,European Innovation Council,government,Paris
Kaffe Bueno,"Using coffee’s by-product as a platform to produce ingredients for cosmetics, functional foods, and nutraceuticals",Europe,Denmark,Copenhagen,55.7298571,12.4975152,1.1,biotechnology;recycling;waste reduction;sustainable development goals;coffee;climate tech,energy,waste solution,early growth,VF Venture (Vækstfonden);The Yield Lab;PINC;EIT Food,venture_capital;accelerator;corporate_venture_fund;accelerator,Copenhagen
4Life Solutions (formerly SolarSack),An affordable and sustainable household water treatment technology that disinfects and purifies water,Europe,Denmark,Copenhagen,55.7158939,12.5496169,1.82,sustainable development goals;solar energy;climate tech,energy,water,early growth,EIT Climate-KIC;Megatrend Invest A/S,accelerator;venture_capital,Copenhagen
MicroShade A/S.,"MicoShade is a Danish company that specialises in developing and marketing advanced, transparent solar shading",Europe,Denmark,Copenhagen,55.6354086,12.2551146,4.53,sustainable development goals;climate tech,real estate;energy,energy efficiency;construction,early growth,SET Ventures;Lucros Investment;VF Venture (Vækstfonden),venture_capital;venture_capital;venture_capital,Copenhagen
AscendXYZ,"Our service is browser based and feeds on aerial- and satellite imagery. We offer a complete solution from aerial data acquisition, remote sensing to the customization of the analysis to your needs into an user friendly service",Europe,Denmark,Copenhagen,55.6897014,12.5646738,1.22,eic;remote sensing;aerial photography;sustainable development goals;wind energy;space tech;climate tech;esa;esa sme;space downstream;space tech to aviation,energy;enterprise software,,early growth,European Innovation Council,government,Copenhagen
Aquaporin,Developing advanced biotechnologies to purify water and desalinate seawater,Europe,Denmark,Copenhagen,55.8006239,12.5204752,7.55,water treatment;sustainable development goals;desalination;biotech and pharma;climate tech,health;energy,water;biotechnology,late growth,European Innovation Council;Syddansk Teknologisk Innovation;Syddansk Innovation;Market Maturation Fund,government;venture_capital;venture_capital;venture_capital,Copenhagen
Monta,Monta is a platform for EV owners to charge seamlessly both at home and when away. Monta GreenCharge forecasts the availability of renewable energy and manages your charging to reduce CO2 emission,Europe,Denmark,Copenhagen,55.6867243,12.5700724,19.97,charging technology;ev charging software;sustainable development goals,energy;transportation,energy efficiency;mobility,late growth,Pale Blue Dot;ByFounders;VF Venture (Vækstfonden);Jeppe Rindom;Creandum;Headline (formerly e.ventures);Pirate Impact,venture_capital;venture_capital;venture_capital;angel;venture_capital;venture_capital;family_office,Copenhagen
LastObject,Eliminating single-use items by creating reusable sustainable alternatives,Europe,Denmark,Copenhagen,55.6688281,12.6222726,5.1,sustainable development goals;climate tech,energy,waste solution,early growth,VF Venture (Vækstfonden);The Footprint Firm;Jacob Wolff-Petersen,venture_capital;venture_capital;angel,Copenhagen
electricitymap,Computing the origin of electricity and its associated carbon emissions,Europe,Denmark,Copenhagen,55.6867243,12.5700724,1.0,open source;climate tech;sustainable development goals,energy,energy efficiency,early growth,Google,corporate,Copenhagen
ZeroNorth,European tech company that's leading the green transition of shipping to make global trade green,Europe,Denmark,Copenhagen,55.656226,12.591784,45.45,shipping;sustainable development goals;logistics company;intelligent systems;climate tech,energy,energy efficiency;clean energy,late growth,Maersk;Cargill;PSG;A.P. Moller Holding,corporate;corporate;private_equity;advisor,Copenhagen
Hyme,Hyme develops thermal energy storage solutions based on the use of molten hydroxide salts as a storage medium,Europe,Denmark,Copenhagen,55.704369,12.553602,10.91,thermal energy storage;sustainable development goals;climate tech,energy,energy storage,early growth,Heartland A/S.;Seaborg Technologies,family_office;corporate,Copenhagen
Amminex,Offers superior solutions for diesel exhaust aftertreatment helping to create cleaner air in cities,Europe,Denmark,Copenhagen,55.738414,12.48614,36.17,automotive;bus;chemistry;sustainable development goals;climate tech,energy;transportation,clean energy;vehicle production;oil & gas,seed,Seed Capital Denmark;Conduit Ventures;Faurecia;European Innovation Council;Innovation Fund Denmark;Market Maturation Fund,venture_capital;venture_capital;corporate;government;venture_capital;venture_capital,Copenhagen
BioGasol,Develops technology for producing renewable biofuels,Europe,Denmark,Copenhagen,55.7333442,12.3908066,15.0,biofuel;sustainable development goals;climate tech,energy,oil & gas,seed,Fjord Capital,"private_equity,venture_capital",Copenhagen
Heliac,Utility-scale solar thermal at costs below any alternative anywhere,Europe,Denmark,Copenhagen,55.901527,12.492434,1.56,solar energy;sustainable development goals;optical technology;climate tech,energy,clean energy;energy providers,early growth,Market Maturation Fund;Plug and Play;EIT Climate-KIC,venture_capital;venture_capital;accelerator,Copenhagen
Too Good To Go,App that offers a solution to sellers and individuals by allowing merchants to put unsold baskets online at low prices available when they close,Europe,Denmark,Copenhagen,55.7129716,12.5697866,68.45,techscale200;social entrepreneurship;food waste;waste reduction;sustainable development goals;climate tech,food;energy,waste solution;food logistics & delivery;in-store retail & restaurant tech,late growth,Preben Damgaard;Mike Lee;Blisce;VF Venture (Vækstfonden);Sap.iO Foundry Munich;Sap.io;KIMPA - Impact Family office,angel;angel;venture_capital;venture_capital;accelerator;accelerator;service provider,Copenhagen
Dall energy,Offers new biomass technologies with improved economy and reduced environmental impact,Europe,Denmark,Copenhagen,55.8742125,12.4967245,2.45,biomass;biofuel;sustainable development goals;climate tech,energy,waste solution;energy efficiency,early growth,European Innovation Council;Market Maturation Fund,government;venture_capital,Copenhagen
Steeper Energy Aps,Developing and commercializing its proprietary and proven Hydrofaction platform,Europe,Denmark,Copenhagen,55.853055,12.50034,1.84,biofuel;biomass,energy,oil & gas,early growth,European Innovation Council;Danish Energy Agency;National Research Council Canada;Alberta Innovates Technology Futures,government;venture_capital;government;venture_capital,Copenhagen
Bawat,A unique technology for ballast water treatment management,Europe,Denmark,Copenhagen,55.868835,12.492742,2.41,water treatment;marine;pollution;sustainable development goals;maritime;climate tech,energy;transportation,clean energy;water,early growth,European Innovation Council;Market Maturation Fund,government;venture_capital,Copenhagen
Wavepiston,"Developed a very promising technology to harvest the energy from waves, both for electricity production and desalination of sea water (producing freshwater)",Europe,Denmark,Copenhagen,56.0385864,12.6199068,4.8,sustainable development goals;hydropower;marine energy;climate tech,energy,water;clean energy,early growth,European Innovation Council;Horizon 2020 FTI (Fast Track to Innovation);Eurostars SME programme;DanBAN - Danish Business Angels,government;government;government;angel_fund,Copenhagen
MicroShade,A passive and highly effective shading element fully integrated into a double or triple pane insulating glazing unit,Europe,Denmark,Copenhagen,55.657124,12.268362,24.55,solar energy;sustainable development goals;climate tech,real estate;energy,energy efficiency;clean energy,early growth,VF Venture (Vækstfonden);SET Ventures,venture_capital;venture_capital,Copenhagen
Nerve Smart Systems,Develops battery management system that allows controlled and optimized battery cell management,Europe,Denmark,Copenhagen,55.6473739,12.1426152,2.47,lithium ion batteries;sustainable development goals;climate tech,energy;semiconductors,energy storage,early growth,European Innovation Council,government,Copenhagen
Seaborg Technologies,"A start-up on the forefront of advanced and innovative nuclear reactor technology working to provide abundant, affordable and sustainable energy",Europe,Denmark,Copenhagen,55.7043879,12.553435,20.3,nuclear fission;sustainable development goals;climate tech,energy,clean energy,late growth,Eurostars SME programme;INDEX: Design to Improve Life;David Helgason;Lars Fløe Nielsen;Mette Fløe Nielsen;Anders Holch Povlsen;Pre seed innovation;Peter Holm;Nordic Makers VC,government;corporate;angel;angel;angel;angel;venture_capital;angel;venture_capital,Copenhagen
Nordsense,A complete end-to-end waste management solution that monitors container levels and applies advanced data analytics to deliver directions to a driver,Europe,Denmark,Copenhagen,55.6782278,12.5711882,4.13,industrial iot;industry 4.0;sustainable development goals;industrial connectivity;industrial technology;manufacturing tech;climate tech,energy;enterprise software,waste solution,early growth,Rincon Venture Partners;Root Ventures;New Enterprise Associates;Sky Ocean Ventures;Henrik Rosendahl;Juha Christensen;Klaus Oestermann;Peter Jensen;ACME Capital,venture_capital;venture_capital;venture_capital;corporate_venture_fund;angel;angel;angel;angel;venture_capital,Copenhagen
Intelligent Pollutant Monitoring (IPM),Develops an innovative sensor application to continuously detect the pollutant level in the given environment,Europe,Denmark,Copenhagen,55.5718841,12.2357845,1.27,pollution;water treatment;sustainable development goals;climate tech,energy,water,seed,Eurostars SME programme;Horizon 2020 FTI (Fast Track to Innovation),government;government,Copenhagen
Clever,CLEVER is the leading electric mobility service provider in Scandinavia,Europe,Denmark,Copenhagen,55.6487956,12.5511715,33.33,electric vehicle;ev charging;sustainable development goals;climate tech,energy;transportation,mobility,late growth,,,Copenhagen
HPNow,"Developed a clean method of generating hydrogen peroxide using only water, air, and electricity",Europe,Denmark,Copenhagen,55.6990434,12.5560737,1.89,livestock;aquaculture;water treatment;sustainable development goals;hydrogen;climate tech,food;energy,clean energy;water;agritech,early growth,Eurostars SME programme;European Innovation Council;AP Ventures;Evonik Venture Capital;EIT Climate-KIC,government;government;venture_capital;corporate_venture_fund;accelerator,Copenhagen
Nualight,Nualight - Creating smarter spaces with LED innovation,Europe,Ireland,Cork,51.89081,-8.5225915,13.91,parking;consumer electronics;sustainable development goals;led lights manufacturer;climate tech,energy,energy efficiency,early growth,Adaxia Capital Partners;EIT Climate-KIC,"private_equity,venture_capital;accelerator",Cork
Amarenco,"Independent power company that invests in, builds and operates Renewable Energy powerplants",Europe,Ireland,Cork,51.8949849,-8.4654024,170.3,solar energy;sustainable development goals;climate tech,energy,energy providers;clean energy,late growth,Eiffel Investment Group;IDIA Capital Investissement;Sofilaro Capital;Tikehau Capital,"private_equity;private_equity,venture_capital;corporate_venture_fund;private_equity",Cork
Reliability Solutions,"Ai driven solution, predict machinery failures that result in huge financial benefits and safety increase to the industry",Europe,Poland,Cracow,50.0724031,19.9177323,6.31,predictive analytics;industrial analytics;industrial technology;manufacturing tech;energy tech;spinout,energy;enterprise software,energy efficiency,early growth,GreatPoint Ventures;Icos Capital;EEC Ventures;Polish Institute for Research and Development;PFR Ventures;Giza Polish Ventures;KPT ScaleUP;AGH University of Science and Technology;PGNiG,"venture_capital;venture_capital;venture_capital;venture_capital;corporate_venture_fund,private_equity,venture_capital;venture_capital;accelerator;university;corporate",Cracow
Elmodis,End-to-end IoT solution that monitors performance and improves operating efficiency of industrial machines,Europe,Poland,Cracow,50.0644456,19.9892977,4.68,predictive maintenance;sustainable development goals;industrial analytics;industrial technology;manufacturing tech;climate tech,energy;semiconductors,water;waste solution;oil & gas;energy storage;energy providers;clean energy;energy efficiency,early growth,Innovation Nest;Intel Capital;SET Ventures;PFR Ventures;Meidensha,"venture_capital;corporate_venture_fund;venture_capital;corporate_venture_fund,private_equity,venture_capital;corporate",Cracow
Focused Energy,Laser fusion startup focused on alternative energy,Europe,Germany,Darmstadt,49.8728253,8.6511929,13.64,nuclear fusion;sustainable development goals;climate tech,energy,clean energy,early growth,Prime Movers Lab;Alex Rodriguez;Marc Lore;Tony Florence,venture_capital;angel;angel;angel,Frankfurt
Adaptive balancing power,Offers a novel energy storage system for renewable integration,Europe,Germany,Darmstadt,49.8851491,8.6514502,2.59,battery;electric vehicle;sustainable development goals;climate tech,energy,energy storage,early growth,European Innovation Council;Horizon 2020 FTI (Fast Track to Innovation);Starter Business Acceleration;EIT Climate-KIC;Companisto,"government;government;accelerator;accelerator;angel_fund,private_equity",Frankfurt
Likuid nano,"Supplying Membranes and Filtration Solutions to our Partners, Engineering Companies and OEM's worldwide",Europe,Spain,Donostia-San Sebastian,43.318334,-1.9812313,2.47,sustainable development goals;climate tech,energy,waste solution;water,seed,European Innovation Council,government,Bilbao
Buntplanet,Software for reducing water losses and engineering,Europe,Spain,Donostia-San Sebastian,43.2954985,-2.0110707,1.51,sustainable development goals;smart cities;climate tech,energy,water,early growth,European Innovation Council,government,Bilbao
eZelleron,"Focuses on the development of portable power supply, including accumulator systems and batteries",Europe,Germany,Dresden,51.050409,13.737262,11.76,battery;developer tools;sustainable development goals;climate tech,energy,energy providers;energy efficiency;energy storage;clean energy,early growth,ECAPITAL;Fraunhofer Venture;Kraftwerk TUBES GmbH,venture_capital;venture_capital;corporate,Dresden
Novaled,"Provides proprietary organic materials and technologies for superior OLEDs in display, lighting and high performance OSC",Europe,Germany,Dresden,51.0562673,13.7759468,26.2,oled;organic;consumer electronics;drones;solar energy;sustainable development goals;climate tech,energy,clean energy,late growth,Omnes Capital;Samsung Electronics;ECAPITAL;TIIN Capital;Tudag;KFW;Innovation Capital;TechFund;Omnes Capital,"private_equity,venture_capital;corporate;venture_capital;venture_capital;venture_capital;investment fund;venture_capital;venture_capital;venture_capital",Dresden
Heliatek,"Develops, produces and distributes industrial-grade organic PV solar solutions for virtually any building surface",Europe,Germany,Dresden,51.078683,13.694584,117.55,organic;solar energy;sustainable development goals;smart building;climate tech,energy,clean energy,late growth,GP Bullhound;Technologiegründerfonds Sachsen;Wellington Partners;High-Tech Gründerfonds;BASF Venture Capital GmbH;ECAPITAL;BNP Paribas;Engie Rassembleurs d’Energies;Innogy Ventures;CEE Group;Aqton;European Investment Bank;Tudag;BASF;Innogy Innovation Hub;Innogy Venture Capital;ENGIE New Ventures;Future Energy Ventures;Bosch;Robert Bosch Venture Capital;Vincent RUINET,"advisor,venture_capital;venture_capital;venture_capital;venture_capital;corporate_venture_fund;venture_capital;corporate;venture_capital;corporate_venture_fund;venture_capital;venture_capital;government & non-profit;venture_capital;corporate;accelerator;corporate_venture_fund;corporate_venture_fund;corporate_venture_fund,venture_capital;corporate;corporate_venture_fund;angel",Dresden
Sunfire,Develops and produces high-temperature fuel cells which facilitate the generation of electric power and heat,Europe,Germany,Dresden,51.02744,13.78711,234.0,sustainable development goals;hydrogen;climate tech,energy,energy storage;clean energy,late growth,Inven Capital;Electranova Capital;TotalEnergies Carbon Neutrality Ventures;Eurazeo;Carl Berninghausen;Paul Wurth;Neste;Planet First Partners;Lightrock;Copenhagen Infrastructure Partners;Blue Earth (formerly PG Impact Investments),"venture_capital;corporate_venture_fund;corporate_venture_fund;private_equity,venture_capital;angel;corporate;corporate;venture_capital;private_equity,venture_capital;advisor,private_equity;venture_capital",Dresden
NOVUM,"Active in the areas of battery condition monitoring, predictive maintenance, and charging management",Europe,Germany,Dresden,51.0589378,13.7266683,0.91,battery;sustainable development goals;climate tech,energy,energy storage,early growth,High-Tech Gründerfonds;Hettich Beteiligungen,venture_capital;angel,Dresden
Cloud & Heat,"Cloud-based computing, the waste heat of which is used to heat buildings and to heat water",Europe,Germany,Dresden,51.0504088,13.7372621,15.15,cloud computing;innovation radar;private cloud;openstack;sustainable development goals;climate tech,energy;hosting,energy efficiency,late growth,Shutterstock;Inven Capital;VNG Innovation;Felix Schaal;Seedmatch;ETF Partners;Plug and Play,corporate;venture_capital;venture_capital;angel;crowdfunding;venture_capital;venture_capital,Dresden
Mainstream Renewable Power,Constructs and operates wind and solar PV projects in high-growth emerging markets,Europe,Ireland,Dublin,53.2736375,-6.2078114,785.0,solar energy;sustainable development goals;wind energy;energy infrastructure project;climate tech,energy,energy providers;clean energy,late growth,Barclays;Marubeni Corporation;HSBC;DNB;Aker Horizons;Mitsui & Co,corporate;corporate;corporate;corporate;corporate;venture_capital,Dublin
Gaelectric,Renewable energy development and operations company focusing on the wind energy and energy storage sectors,Europe,Ireland,Dublin,53.344505,-6.228218,98.3,trading;risk management;natural resources;battery;solar energy;wind energy;sustainable development goals;climate tech,energy,energy storage;clean energy,late growth,,,Dublin
RedT,redT energy | Industrial energy storage systems,Europe,Ireland,Dublin,53.34807,-6.24827,1.3,battery;sustainable development goals;climate tech,energy,energy storage;clean energy,late growth,John Ward;Enterprise Ireland,angel;government & non-profit,Dublin
H2ozone,H2Ozone provides a chemically free purification solution for all water sources to independently verified drinking water standards,Europe,Ireland,Dublin,53.085598,-6.106135,5.0,natural resources;water treatment;sustainable development goals;climate tech,food;energy,water;agritech,seed,Henry Bolger,angel,Dublin
FenestraPro,Efficient facade design for architects,Europe,Ireland,Dublin,53.3536155,-6.2268759,1.75,architecture;cloud computing;contech;solar energy;crm,real estate;energy,construction;real estate software;energy efficiency;clean energy,early growth,Pi Labs;Enterprise Ireland,venture_capital;government & non-profit,Dublin
Wevebob,"Wavebob is developing a wave energy convertor, harnessing the power of the ocean to produce clean, renewable energy",Europe,Ireland,Dublin,53.38129,-6.59185,3.0,sustainable development goals;climate tech,energy,clean energy;water,late growth,,,Dublin
HT Materials Science,HTMS develops and manufactures commercial and industrial heat transfer fluids,Europe,Ireland,Dublin,53.3395506,-6.2446583,7.0,material technology;sustainable development goals;advanced materials;industrial technology;climate tech,real estate;energy,energy efficiency,early growth,Progress Tech Transfer Fund;Enterprise Ireland;Saudi Aramco Energy Ventures,venture_capital;government & non-profit;corporate_venture_fund,Dublin
SolarPrint,SolarPrint develops and manufactures dye sensitized solar cell (DSSC) photovoltaic technology used in various consumer electronic products,Europe,Ireland,Dublin,32.077814,-98.343876,2.75,streaming;open source;consumer electronics;solar energy;natural resources;entertainment,media;energy,social media,seed,,,Galway
Airsynergy,Over the last four years Airsynergy has developed and patented ground breaking renewable energy solutionsThis includes a fully scalable,Europe,Ireland,Dublin,53.40863,-6.445205,2.0,ventilation;wind energy;sustainable development goals;climate tech,energy,clean energy,seed,,,Dublin
Gazelle Wind Power,Hybrid floating offshore wind platform,Europe,Ireland,Dublin,53.3498053,-6.2603097,9.09,wind energy;sustainable development goals;climate tech,energy,clean energy,early growth,Valentin de Torres;Solanot del Pino;Peter Murphy;Zach Mecelis;Katapult Ocean,angel;angel;angel;angel;accelerator,Dublin
Nines Photovoltaic,UNIVERSAL DRY TEXTURING PROCESS DESIGNED FOR THE SOLAR CELL INDUSTRY,Europe,Ireland,Dublin,53.290292,-6.3615,3.35,solar energy;natural resources;publishing,energy,clean energy,seed,EIT InnoEnergy,venture_capital,Dublin
Terra Solar,,Europe,Ireland,Dublin,53.3498053,-6.2603097,2.5,solar energy;natural resources;farming;sustainable development goals;climate tech,energy,clean energy,early growth,ESB International,corporate,Dublin
UrbanVolt,Energy-saving LED lighting firm,Europe,Ireland,Dublin,53.3273932,-6.2486959,92.6,cost management;sustainable development goals;climate tech,energy;semiconductors,energy efficiency,early growth,Low Carbon Innovation Fund;SUSI Partners AG;Stephen Vernon;Ireland Strategic Investment Fund;P Capital Partners;Beach Point Capital Management;Business Venture Partners BVP,venture_capital;venture_capital;angel;venture_capital;investment fund;venture_capital;venture_capital,Dublin
Exergyn,"Designs and develops SMA core technology to enable its global partners to transform their product offering to be more environmentally friendly, without compromising on cost, size, weight or efficiencies",Europe,Ireland,Dublin,53.376408,-6.270668,32.58,geothermal energy;sustainable development goals;climate tech,energy,energy efficiency;energy providers,early growth,European Innovation Council;Lacerta Partners;McWin Investment;Mercuria Energy Group;Unreasonable Group;Keiretsu Forum,government;venture_capital;venture_capital;corporate;corporate;venture_capital,Dublin
BNRG Renewables,BNRG Renewables - BNRG Renewables is an International Renewable Energy development company Specialising in utility-scale solar PV projects,Europe,Ireland,Dublin,32.077814,-98.343876,0.92,solar energy;farming;developer tools,energy,clean energy;energy providers,early growth,,,Galway
DABBEL - Automation Intelligence,The AI Autonomous Building Management System that saves up to 40% of HVAC energy consumption and CO₂ emissions,Europe,Germany,Dusseldorf,51.2139895,6.7841384,3.6,real estate;smart building;sustainable development goals;climate tech,real estate;energy,energy efficiency,early growth,E.ON :agile accelerator;Target Global;Seed X Liechtenstein;Neosfer (previously Main Incubator);EIT Climate-KIC;Plug and Play;Future Energy Ventures,"accelerator;venture_capital;venture_capital;venture_capital;accelerator;venture_capital;corporate_venture_fund,venture_capital",Dusseldorf
DENS,Develops and produces energy systems based upon the LOHC Hydrozine,Europe,Netherlands,Eindhoven,51.474408,5.6239959,1.55,hydrogen;climate tech;sustainable development goals,energy,energy providers;clean energy;energy storage,late growth,BOM Brabant Ventures;Koolen Industries;Brabant Startup Fonds,venture_capital;corporate;government,Eindhoven
