NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M),TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA,public and non-profit,investment entities,support programs,advisory and service provider
UrbanVolt,Energy-saving LED lighting firm,Europe,Ireland,Dublin,53.3273932,-6.2486959,92.6,climate tech;cost management;sustainable development goals;b corp,energy,energy efficiency,early growth,Low Carbon Innovation Fund;SUSI Partners;Stephen Vernon;Ireland Strategic Investment Fund;P Capital Partners;Beach Point Capital Management;Business Venture Partners BVP;Solas Capital,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Dublin,0,8,0,0
wiferion (formerly blue inductive),Develops wireless battery charging systems for industrial applications,Europe,Germany,Freiburg im Breisgau,47.98868125,7.79544269,2,sustainable development goals;climate tech;electric mobility;lithium ion batteries;ev charging;ev battery,energy;transportation,energy storage;mobility,late growth,High-Tech Gründerfonds;MBG Mittelständische Beteiligungsgesellschaft Baden-Württemberg GMBH;MBG Baden Wuerttemberg;Nordic Alpha Partners;Plug and Play;Plug & Play Topeka;EIT Climate-KIC;VC Fonds Baden-Württemberg GmbH & Co. KG;Phoenix Contact Innovation Ventures;Fraunhofer Venture;Xpreneurs,investment entities;investment entities;investment entities;investment entities;investment entities;support programs;support programs;investment entities;investment entities;investment entities;support programs,Strasbourg,0,8,3,0
Swedish Algae Factory,Advanced materials from algae for personal care and solar efficiency enhancement,Europe,Sweden,Gothenburg,57.6936654,11.9747261,12.65,algae;solar energy;sustainable development goals;farming;aquaculture;climate tech;advanced materials;novel energy;other categories novel energy;blue economy;bluetech;circular economy,energy,clean energy,early growth,Chalmers Ventures;Almi Invest;EIT InnoEnergy;Swedish Energy Agency;European Commission;Walerud Ventures;Aqua-Spark;EIT Climate-KIC;Formica Capital;Unreasonable Group;Gladium;Mark Hartney,"investment entities;investment entities;investment entities;public and non-profit;public and non-profit;investment entities;advisory and service provider,investment entities;support programs;investment entities;investment entities;investment entities;investment entities",Gothenburg,2,8,1,0
Liquid Wind,"Developing, financing, building and managing commercial-scale eMethanol facilities",Europe,Sweden,Gothenburg,57.710083,11.9727685,20.19,carbon capture and storage;sustainable development goals;climate tech;nordic rising star 2022;blue economy;bluetech;biofuel,energy,clean energy;waste solution,early growth,FundedByMe;Alfa Laval;Siemens Energy;Uniper;FALKOR;Haldor Topsoe;Carbon Clean Solutions;Elyse Energy;HYCAP,public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Gothenburg,1,8,0,0
Renaissance Fusion,"Renaissance Fusion builds on the success of stellarator experiments, makes them reactor-ready by quadrupling the magnetic field and simplifies them using proprietary High-Temperature Superconductors manufacturing and flowing liquid-metal walls",Europe,France,Grenoble,45.1922759,5.6758557,14.91,nuclear fusion;sustainable development goals;climate tech;novel energy,energy,clean energy,early growth,Creative Destruction Lab;Exor Seeds;Exor;Unruly Capital;PVS Investments;Norrsken VC;Lowercarbon Capital;HCVC;Positron ventures,support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Grenoble,0,8,1,0
Custom Cells,"Development and series production of electrodes, electrolytes and Battery Cells",Europe,Germany,Hamburg,53.95557,9.48615,57.27,lithium ion batteries;chemistry;sustainable development goals;climate tech;aviation & aerospace;electric mobility;ev battery;ev battery production,energy,energy storage,late growth,High-Tech Gründerfonds;Innovationsstarter Fonds;P3 Group;Vsquared Ventures;468 Capital;Porsche Ventures;World Fund;Abacon Capital,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Hamburg,0,8,0,0
Wello Oy,A developer of wave energy converters,Europe,Finland,Helsinki,60.1589191,24.7037647,7.6,sustainable development goals;hydropower;marine;climate tech;wave energy;blue economy;bluetech,energy,clean energy;water,seed,European Innovation Council;Invesdor;Innovestor Ventures;European Innovation Council and SMEs Executive Agency (EISMEA);Inventure;Pekka Koskinen;Esa Mäkeläinen;Charles Odinot;Jaakko Salminen;Raimo Vaalasranta;Innovestor,public and non-profit;public and non-profit;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Helsinki,3,8,0,0
Oceanvolt,Award-winning manufacturer of electric and hybrid motor systems for boats,Europe,Finland,Helsinki,60.2705829,24.8778618,6.33,machinery manufacturing;marine;sustainable development goals;climate tech;ev manufacturing;ev motor;electric mobility;blue economy;marine transportation;bluetech,energy;transportation,vehicle production;maintenance,early growth,European Innovation Council;Innovestor Ventures;Innovestor;European Innovation Council and SMEs Executive Agency (EISMEA);Diplomite Oy;Tekes;Andreas Rosenlew;Tero Ojanperä;Tero Ojanperä;Aboa Advest,public and non-profit;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Helsinki,2,8,0,0
Sonnen GmbH,Global leader in smart energy storage solutions,Europe,Germany,Kempten (Allgau),47.765594,10.401611,147.9,ft 1000;battery;sustainable development goals;smart building;climate tech;smart grid,energy,energy efficiency;energy storage,late growth,SET Ventures;GE Ventures;Inven Capital;Munich Venture Partners;ECAPITAL;Shell Ventures;ČEZ;Shell,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Munich,0,8,0,0
Epishine,Develops and produces printed solar cells that consist only of organic materials,Europe,Sweden,Linkoping,58.4098135,15.6245252,16.77,solar energy;sustainable development goals;climate tech;nordic rising star 2022;novel energy;other categories novel energy,real estate;energy,energy efficiency;clean energy,early growth,Almi Invest;European Innovation Council;European Commission;Axsol;Vigo Carlund;Beijers Ventures;Philian Invest;LIU Invest;Beijer Ventures;Unreasonable Group,investment entities;public and non-profit;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Linkoping,2,8,0,0
neoom,"Measures, intuitively stores, distributes and converts renewable energy into sustainable services",Europe,Austria,Linz,48.51196,14.50512,48.9,sustainable development goals;climate tech,energy,clean energy,late growth,ZE Fund Trust;Walter Kreisel;Burning Issues Impact Fund;Nixdorf Kapital Impact Fund;Alterdyne (former E-nable+);Allinvest Unternehmensbeteiligungs GmbH;KREISEL Ventures;Summiteer,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Linz,0,8,0,0
Babaco Market,The first anti-waste e-grocery in Italy,Europe,Italy,Milan,45.4441351,9.208477,8.3,sustainable development goals;direct-to-consumer;climate tech;groceries;food waste;food delivery service,food;energy,waste solution,early growth,Plug and Play Spain;Plug and Play;Plug & Play Topeka;Niccolo Maisto;Startupbootcamp;United Ventures;LVenture Group;CDP Venture Capital;Boost Heroes;DOORWAY;Seven Moratti;Feel Venture;NextUp partners,"support programs;investment entities;support programs;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;public and non-profit;advisory and service provider,investment entities;investment entities;investment entities",Milan,1,8,3,0
IONITY,High-power charging station network for electric vehicles,Europe,Germany,Munich,48.1866646,11.5442312,750,automotive;ev charging infrastructure;ev charging hardware;became $1b as subsidiary;sustainable development goals;ev charging;climate tech;electric mobility,energy;transportation,,late growth,Mercedes-Benz Group AG;Ford Motor Company;Volkswagen Group;BlackRock;BMW;Porsche;Audi;Hyundai Motor Company;Kia Motors,"investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Munich,0,8,0,0
The Mobility House,Provides its users with mobility energy solutions,Europe,Germany,Munich,48.120484,11.6025288,47.45,battery;sustainable development goals;ev charging software;ev charging hardware;ev charging operations and monitoring;ev charging;climate tech;electric mobility,energy;transportation,mobility;energy storage,late growth,Zouk Capital;Alliance Capital Ventures;European Investment Bank;Ventura Capital;Wermuth Asset Management;Ventura Capital;Mercedes-Benz Group AG;Mitsui & Co;Alliance Venture;Singapore Power Group;Mercuria Energy Group,"advisory and service provider,investment entities;investment entities;public and non-profit;investment entities;advisory and service provider,investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Munich,1,8,0,0
Orcan Energy,A waste heat recovery tech company developing ORC platform technology to produce mechanical energy and electricity,Europe,Germany,Munich,48.0962989,11.5356228,25.91,waste heat recovery;sustainable development goals;maritime;climate tech;biomass;circular economy;blue economy;bluetech,energy,energy efficiency;waste solution,late growth,Wellington Partners;Kleiner Perkins;ALIAD (Air Liquide);EUREKA Network Projects;E.ON;Future Energy Ventures;Air Liquide;TiLT Capital Partners;Matterwave Ventures;Otium Capital;Quadia,"investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;advisory and service provider,investment entities",Munich,1,8,0,0
PHENIX,Web and service platform specializing in the reduction of waste,Europe,France,Paris,48.8867889,2.3255902,30,recycling;food waste;waste reduction;sustainable development goals;climate tech;circular economy;b corp,food;energy,waste solution;food logistics & delivery,late growth,Starquest Capital;ETF Partners;Bpifrance;Arkea Capital;SofiOuest;BNP Paribas;Lombard Odier;Inco Ventures;Danone Manifesto Ventures,"investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities",Paris,0,8,0,0
Volta Trucks,Creating an all-electric truck specifically to be used in and around cities and urban areas,Europe,Sweden,Stockholm,59.6147249,17.6978001,374.51,automotive;sustainable development goals;climate tech;nordic rising star 2022;top 50 nordic rising star 2022 sweden;ev manufacturing;electric mobility,energy;transportation,vehicle production,late growth,Luxor Capital;Byggmästare Anders J Ahlström;Proterra;Agility;B-FLEXION (formerly Waypoint Capital);Curitas Ventures;Federal Ministry of Transport and Digital Infrastructure;Provider Investment,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Uppsala,0,8,0,0
X Shore,X Shore creates high performance all-electric powered boats,Europe,Sweden,Stockholm,59.3406944,18.1215299,93.52,sustainable development goals;maritime;marine;climate tech;nordic rising star 2022;ev manufacturing;electric mobility;blue economy;bluetech,energy;transportation,vehicle production,late growth,Peter Dahlberg;Team Europe;Navin Thukkaram;Marec Gasiun;Lukasz Gadowski;Wellstreet;Peter Carlsson;SEB Venture Capital,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Stockholm,0,8,0,0
Exeger,"A Swedish deep tech company inspired by nature, because nature is the most technologically advanced ecosystem",Europe,Sweden,Stockholm,59.3251172,18.0710935,124,solar energy;sustainable development goals;climate tech;nordic rising star 2022;novel energy;other categories novel energy,energy,clean energy;energy efficiency,late growth,Forum;EUREKA Network Projects;3TInvest;SoftBank;Swedbank;Swedish Export Credit Corporation;Ilija Batljan;Molindo;Stena Sessan;SEB Private Equity;AMF,"investment entities;public and non-profit;investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities",Stockholm,2,8,0,0
Arkeon Biotechnologies,"Turns CO2 into functional, carbon-negative ingredients for food",Europe,Austria,Vienna,48.3335639,16.0449972,10.5,sustainable development goals;carbon capture and storage;climate tech;alternative protein;fermentation;carbon utilisation;circular economy;synthetic biology,food;energy,waste solution;innovative food,early growth,Synthesis Capital;ReGen Ventures;Tet Ventures;ICL;aws Founders Fund;FoodHack;Look Up Ventures;Plug and Play;Plug & Play Topeka,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;support programs,Vienna,0,8,1,0
Foodsi,A mobile app designed to fight food waste 💛,Europe,Poland,Warsaw,52.22643345,20.99890903,1.51,food waste;sustainable development goals;climate tech;social entrepreneurship;circular economy;recycling;waste reduction,food;energy,food logistics & delivery;waste solution,early growth,AIP Seed;Cofounder Zone;Satus Starter VC;Piotr Czajkowski;Marcin Celejwski;Arkadiusz Krupicz;Piotr Markowski;Bartosz Ciołkowski,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Warsaw,0,8,0,0
Ampere.cloud GmbH,Helps to discover full energy potential with the smart tech solution and intuitive SaaS monitoring,Europe,Germany,Berlin,52.5633355,13.41239,5,,energy,clean energy,early growth,Business Angels Club Berlin-Brandenburg;HGDF Familienholding;Vireo Ventures;Stefan Müller;Martin Herrmann;Point Nine;Helloworld;Berlin Angel Fund,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Berlin,0,8,0,0
VOLTFANG,Develops home storage solutions for private houses using recycled traction batteries,Europe,Germany,Aachen,50.77956255,6.08226888,1.1,spinout;sustainable development goals,energy,energy storage,early growth,Antonio Mesquida Küsters;Keith Sauvant;RWTH Aachen University;AENU;Andreas Booke;David Balensiefen;Ralf Christian;Gabor Cselle,investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities,Aachen,1,7,0,0
Dexter Energy Services,Manages imbalance for energy companies and industrials using artifical intelligence,Europe,Netherlands,Amsterdam,52.35082705,4.92508172,12.5,climate tech;sustainable development goals,energy,energy efficiency,early growth,Generation-E;PDENH;DutchBasecamp;Andreas Gelfort;Stephen Asplin;Newion;Starter Business Acceleration;Rockstart;ETF Partners;Astelia,investment entities;investment entities;public and non-profit;investment entities;investment entities;investment entities;support programs;support programs;investment entities;investment entities,Amsterdam,1,7,2,0
Sungevity International,Develops remote solar designs and installation services for home solar electric systems,Europe,Netherlands,Amsterdam,52.363326,4.978385,247.27,startupamsterdam;performance management;solar energy;sustainable development goals;pay per result;climate tech,energy,clean energy,late growth,Firelake Capital Management;Vision Ridge Partners;GE Ventures;CCM Energy;Jetstream Capital;Apollo Investment Corporation;Engie Rassembleurs d’Energies,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Amsterdam,0,7,0,0
Allego,"Delivers charging solutions for electric cars, motors, buses and trucks, for consumers, businesses and cities",Europe,Netherlands,Arnhem,51.9664135,5.9395224,146.36,spac ipo closed;verified unicorns and $1b exits;car charging;sustainable development goals;ev charging;ev charging hardware;ev charging software;ev charging operations and monitoring;battery;electric mobility;spac target,energy;transportation,mobility;energy storage,late growth,Meridiam;Spartan Acquisition Corp. III;Fisker Automotive;Landis+Gyr;Hedosophia;Emerging Capital Partners - ECP;Apollo;Alliander,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities",Utrecht,0,7,0,0
Submer Technologies,Immersion Cooling Solution for Data Centers,Europe,Spain,Barcelona,41.3661865,2.1164942,47.06,cooling tech;sustainable development goals;climate tech;novel energy;other categories novel energy,energy;hosting,energy efficiency,late growth,European Innovation Council;Mundi Ventures;Big Sur Ventures;Lánzate;Plug and Play;Norrsken VC;Planet First Partners;Andreas Mihalovits;Tim Reynolds;Norrsken Foundation;Plug & Play Topeka,public and non-profit;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;public and non-profit;support programs,Barcelona,2,7,2,0
TESVOLT,Commercial & Industrial Energy Storage,Europe,Germany,Berlin,51.8863645,12.5683678,45.23,sustainable development goals;lithium ion batteries,energy,energy storage;clean energy,late growth,European Innovation Council;Bmp Ventures;Berenberg;AENU;IBG Beteiligungsgesellschaft Sachsen-Anhalt;UBS;E.R. Capital Holdings;Liechtenstein Group,public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Leipzig,1,7,0,0
Creapaper,"Creapaper produces grass fibre raw material and grasspaper products for the retail, paper and packaging industry, helping to reduce plastic-pollution and CO2 emissions on a global scale",Europe,Germany,Bonn,50.7843729,7.2682212,24.46,eicfund;ecological packaging;advanced materials;sustainable development goals;climate tech,energy,waste solution,early growth,ECAPITAL;European Innovation Council;ECapital;JS Capital Management;Ranpak Holdings;Schusterman Family Investments;Soros Fund Management;EIC Fund (European Innovation Council Fund),investment entities;public and non-profit;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Bonn,1,7,0,0
ATAWEY,ATAWEY designs and manufactures turnkey autonomous energy solutions for isolated sites,Europe,France,Chambery,45.64427,5.86201,13.3,sustainable development goals;hydrogen;climate tech;novel energy;hydrogen novel energy,energy;transportation,,early growth,Starquest Capital;EIT InnoEnergy;EIT Climate-KIC;Bpifrance;Banque Populaire Auvergne Rhône Alpes;IDEC Group;Crédit Agricole Alpes Développement;BNP Paribas,investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities,Grenoble,0,7,1,0
Sunvigo,Offers a solar system for free combined with a flexible electricity contract,Europe,Germany,Cologne,50.937531,6.9602786,26.1,solar energy;sustainable development goals;climate tech;green buildings;urban tech,energy,energy providers;clean energy,late growth,Übermorgen Ventures;Ecosummit Ventures Management;High-Tech Gründerfonds;Sparta Capital;Deutsche Kreditbank;Eneco Ventures;Triodos Investment Management;Future Energy Ventures;Sparta Capital .,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;advisory and service provider,investment entities;investment entities,investment entities;investment entities",Cologne,0,7,0,0
node.energy,A SaaS for the commercial optimization of local energy concepts,Europe,Germany,Frankfurt am Main,50.0974365,8.6630872,8.58,optimization;sustainable development goals;energy tech;industrial technology;climate tech,energy,energy efficiency,late growth,High-Tech Gründerfonds;TechQuartier;EIT Climate-KIC;Helen Ventures;BitStone Capital;BonVenture Management;10x;Wi Venture;BitStone Capital,investment entities;support programs;support programs;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Frankfurt,0,7,2,0
Carbonfuture,The end-to-end platform for scaling durable carbon removal credits,Europe,Germany,Freiburg im Breisgau,48.0144013,7.8449192,8.05,climate tech;sustainable development goals;carbon tracking & offset;climate fintech,energy,waste solution,early growth,Übermorgen Ventures;Wi Venture;Seed + speed Ventures;Carsten Maschmeyer;Carbon Removal Partners;Sustainable Future Ventures;4Impact,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Strasbourg,0,7,0,0
Melt&Marble (formerly Biopetrolia),A New Source of Fatty Acids through Yeast Biotechnology | Biopetrolia,Europe,Sweden,Gothenburg,57.6908777,11.9760414,5.75,nordic rising star 2022;climate tech;enabler of alternative proteins;sustainable development goals,food;energy,innovative food,early growth,Chalmers Ventures;Purple Orange Ventures;Nordic FoodTech VC;PINC;Lever VC;Be8 Ventures;Good Startup,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Gothenburg,0,7,0,0
Modvion,Modvion accelerates the transition to renewable energy and materials by building tall wind turbine towers in laminated wood,Europe,Sweden,Gothenburg,57.7625633,11.9939662,13.99,composite materials;wind energy;sustainable development goals;eicfund;climate tech;nordic rising star 2022,energy,clean energy,early growth,MassChallenge;European Innovation Council;Vestas Ventures;Chalmers Ventures;EIT Climate-KIC;Sustainable Energy Angels;EIC Fund (European Innovation Council Fund);Almi Invest;Course Corrected;SymbiaVC,support programs;public and non-profit;investment entities;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;investment entities,Gothenburg,1,7,2,0
EnerBee,An industrial start-up developing energy harvesters,Europe,France,Grenoble,45.1857216,5.7047452,4.7,battery;sustainable development goals;spinout,energy;home living,clean energy,seed,Emertec Gestion;Robolution Capital;BNP Paribas;Crédit Agricole;Demeter Partners;360 Capital Partners;Asahi Kasei;CEA;Crédit Agricole Alpes Développement,"investment entities;investment entities,investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities",Grenoble,0,7,0,0
Exagan,Leading supplier of gallium nitride based transistor devices,Europe,France,Grenoble,45.195896,5.710194,5.7,solar energy;climate tech;sustainable development goals;supply chain management;transistors;gan (gallium nitride);semiconductor designers and manufacturers,energy;semiconductors,clean energy,early growth,CEA Investissement;IRDInov;Soitec;CM-CIC Innovation;Turenne Capital;Innovacom;STMicroelectronics;iXO Private Equity,"investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,investment entities",Grenoble,0,7,0,0
Traceless materials,Developing a new generation of materials made from plant residues that are biodegradable and plastic-free,Europe,Germany,Hamburg,53.5510846,9.9936818,3.33,food waste;plastic;sustainable development goals;plastic pollution;climate tech;advanced materials;waste reduction;circular economy,food;energy,agritech,early growth,Planet A;High-Tech Gründerfonds;bValue;European Innovation Council;Planet A Ventures;Plug and Play;RESPOND Accelerator;Innovationsstarter Fonds;Plug & Play Topeka;EIC Fund (European Innovation Council Fund),investment entities;investment entities;investment entities;public and non-profit;investment entities;investment entities;support programs;investment entities;support programs;investment entities,Hamburg,1,7,2,0
Woodly,"Wood-based, carbon neutral and recyclable packaging material to substitute traditional plastics",Europe,Finland,Helsinki,60.1991871,24.9312446,8.14,sustainable development goals;ecological packaging;bioplastic;industrial technology;advanced materials;climate tech;nordic rising star 2022;waste reduction;circular economy,food;energy,innovative food;waste solution,early growth,Founders' Edge;Joensuun Kauppa;KONE;Copacking;Seedi;Besodos Investors;Eski B.V,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Helsinki,0,7,0,0
I-Ten,"Develops, manufactures, and sells micro-batteries which combine the advantages of both batteries and supercapacitors",Europe,France,Lyon,45.8129086,4.7619016,100.2,circuit;sustainable development goals;lithium ion batteries;climate tech;novel energy;other chemistry novel energy;battery;ev battery;ev battery production;solid-state battery,energy,energy storage,early growth,Kreaxi;Eren Groupe;Habert Dassault Finance;Innovacom;Demeter Partners;Rhone-Alpes Creation;Turenne Capital;Bpifrance,"investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities",Lyon,0,7,0,0
Qvantum,Qvantum offers heat pumps for the next generation heating and cooling technologies that enables the decarbonization of our cities,Europe,Sweden,Malmo,55.5832831,12.9357813,42,heat pump;sustainable development goals;climate tech;urban tech;green buildings,energy,clean energy,seed,NEA Partners;Gullspang Invest;DIG Investment;Munters;SEB Greentech;IMAS Foundation;Thomas von Koch,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Malmo,0,7,0,0
DualSun,Provides both electricity (photovoltaic) and hot (thermal) water for homes and buildings,Europe,France,Marseille,43.296379,5.418801,15.2,solar energy;sustainable development goals;climate tech,energy,water;clean energy,late growth,Noria Invest;Opalic;Région Sud Investissement;Provence Business Angels;Bpifrance;Turenne Capital;TiLT Capital Partners,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Marseille,0,7,0,0
Hawa Dawa,Manufactures and develops air quality monitoring systems for smart cities,Europe,Germany,Munich,48.1211825,11.5501564,2.05,sustainable development goals;smart cities;air quality monitoring & treatment;space tech;esa;esa bic;esa sme;space downstream;space tech to finance;space tech to health;space tech to smart cities;space tech to mobility;esa bass,energy,,early growth,alubi capital GmbH;WENVEST Capital;TechQuartier;EIT Climate-KIC;Startport;Xpreneurs;RESPOND Accelerator;New Mobility World;ESA BIC Bavaria;Seraphim Space Camp;Space Academy;Sawiris Family Office;Jan Bohl;BayBG Venture Capital;Seraphim Space,"investment entities;investment entities;support programs;support programs;support programs;support programs;support programs;investment entities;support programs,support programs;support programs;support programs;investment entities;investment entities;investment entities;investment entities",Munich,0,7,7,0
GreenCom Networks,"A Software-as-a-Service Company, offering white-label solutions for the utility industry and energy service companies",Europe,Germany,Munich,48.120992,11.60295,12,sustainable development goals;industrial technology;energy tech;industrial connectivity;climate tech,energy;enterprise software,clean energy;energy efficiency,early growth,Cosmos Group;Munich Venture Partners;SET Ventures;Future Energy Ventures;Shell Ventures;Energy and Environment Investment;Centrica Innovations;Macdoch Ventures;WERK1;Enphase Energy,"investment entities;investment entities;investment entities;investment entities,investment entities;investment entities;investment entities;investment entities;investment entities,investment entities;support programs;investment entities",Munich,0,7,1,0
Fos4X,Professional fiber optic measurement technology and measurement solutions for wind turbines,Europe,Germany,Munich,48.1113675,11.5479289,10.5,industrial iot;industry 4.0;wind energy;sustainable development goals;industrial connectivity;industrial technology;manufacturing tech;energy tech;climate tech;manufacturing,energy;enterprise software,energy efficiency;clean energy,late growth,High-Tech Gründerfonds;UVC Partners;Bayern Kapital;Falk Strascheg Holding;Equinor;Dr. Schulze Consulting and Holding GmbH;PolyTech,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Munich,0,7,0,0
SolarNow,Solar energy and financing solutions in East Africa,Europe,Netherlands,Nijmegen,51.8386986,5.859919,11.27,solar energy;farming;sustainable development goals;climate tech,energy,clean energy,late growth,Shell;Acumen;NovaStar;SunFunder;ResponsAbility Investments AG;Oikocredit International;Mastercard Foundation Fund for Rural Prosperity;Shell Ventures;Invested Development,"investment entities;investment entities;investment entities;investment entities;advisory and service provider,investment entities;investment entities;public and non-profit;investment entities;investment entities",Eindhoven,1,7,0,0
Fairbrics,Developing the first synthetic fiber with a net positive impact on climate change and capable of meeting the demand of the market,Europe,France,Paris,48.689479,2.2109656,28.5,sustainable development goals;industrial technology;advanced materials;climate tech;circular economy,fashion;energy,,early growth,Entrepreneur First;SGH Capital;Agoranov;Fashion For Good;EIT Climate-KIC;AP Ventures;Sake Bosch;H&M;Horizon 2020;UPSCALE Project,investment entities;investment entities;support programs;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;advisory and service provider,Paris,0,7,2,1
EverImpact,"Combines satellite imagery and ground sensing to monitor air quality, and carbon emissions in cities",Europe,France,Paris,48.83457505,2.3706706,1.75,smart cities;satellite imagery;space tech;sustainable development goals;space tech to energy;eit climate-kic portfolio;space tech to environment;climate tech;space downstream;bluetech;blue economy;carbon tracking & offset,energy;space,,early growth,FI-C3;FIWARE;Motion Ventures;ADB Ventures;Startport;Plug and Play;EIT Climate-KIC;MOL Group;IMC Ventures;Rainmaking;Transport Capital Partners;Plug & Play Topeka;EIT Urban Mobility,"support programs;support programs;investment entities;investment entities,investment entities;support programs;investment entities;support programs;investment entities;investment entities;investment entities;investment entities;support programs;investment entities",Paris,0,7,5,0
DCbrain,A solution based on graph models and Machine Learning used to ease exploitation and maintenance processes of complex industrial networks,Europe,France,Paris,48.8920596,2.3266144,6.5,smart cities;manufacturing tech;manufacturing;smart grid;industrial technology;industrial analytics,energy;enterprise software,energy efficiency;oil & gas,early growth,Aster Capital;The Ville de Demain fund;Bpifrance;EIT InnoEnergy;EIT Digital Accelerator;EIT Climate-KIC;Plant 4.0 Team;Statkraft Ventures;Breed Reply;Cowin Venture,investment entities;investment entities;investment entities;investment entities;support programs;support programs;investment entities;investment entities;support programs;investment entities,Paris,0,7,3,0
NHOA (Formerly Engie EPS),"Clean, Smart, Decentralised Energy Storage with hydrogen batteries",Europe,France,Paris,48.856614,2.3522219,26.8,hydrogen;battery;sustainable development goals;climate tech;stationary energy storage;novel energy;hydrogen novel energy;electric mobility;ev charging;ev charging infrastructure;ev charging hardware,energy;transportation,energy storage;energy efficiency;clean energy,late growth,360 Capital Partners;Intesa Sanpaolo;UniCredit;Four Partners;Ersel Asset Management;Engie;Taiwan Cement,investment entities;investment entities;investment entities;investment entities;investment entities;investment entities;investment entities,Paris,0,7,0,0
Fibersail,Continuous and automated real time shape monitoring service for the condition and behavior of wind turbine blades,Europe,Portugal,Porto,41.232208,-8.6273183,6.05,wind energy;sustainable development goals;climate tech;space tech;spinout;esa bic;esa;space downstream;space tech to energy,energy;enterprise software,clean energy,early growth,Caixa Capital (Portugal);InnoBAN Business Angel Network;European Innovation Council;EIT InnoEnergy;Carlos Oliveira;Rockstart;Novo Banco;PortXL;EIT Climate-KIC;UPTEC – Science and Technology Park of University of Porto;University of Porto;ESA BIC PORTUGAL;FORWARD.one Venture Capital;Marc de Jong;European Innovation Council and SMEs Executive Agency (EISMEA),investment entities;investment entities;public and non-profit;investment entities;investment entities;support programs;investment entities;support programs;support programs;support programs;public and non-profit;support programs;investment entities;investment entities;public and non-profit,Porto,3,7,5,0
