NAME,TAGLINE,HQ REGION,HQ COUNTRY,HQ CITY kész,LATITUDE,LONGITUDE,TOTAL FUNDING (EUR M) kész,TAGS,INDUSTRIES,SUB INDUSTRIES,GROWTH STAGE,INVESTORS,EACH INVESTOR TYPES,Closest FUA
Fuelsave,Energy efficiency enhancement company,Europe,Germany,Heidelberg,49.294983,8.649036,1.6,sustainable development goals;marine;biofuel;hydrogen,energy,energy efficiency,seed stage,European Innovation Council;Building Global Innovators;Techstars,government;accelerator;accelerator,Heidelberg
RVE.SOL - Solucoes de Energia Rural,Uses renewable technology to accelerate rural development and empower businesses in rural Africa,Europe,Portugal,Leiria,39.772262,-8.773161,3.47,information technology;green technology;community;social;investing;charity;mapping;navigation;solar energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);clean water and sanitation (#6);climate action (#13),energy,clean energy,early growth stage,EIT InnoEnergy;Renewable Energy Corporation;EGIS;European Commission;Vivian Vendeirinho;Acumen,accelerator;corporate;corporate;investment fund;angel;venture_capital,Lisbon
Ingelia,"Renewable energies, biomass, biofuels",Europe,Spain,Valencia,39.4820432,-0.3639147,1.6,biofuel;biomass,energy,clean energy,early growth stage,European Innovation Council;EIT InnoEnergy,government;accelerator,Valencia
Gradyent,Optimizing district energy networks with our Artificial Intelligence cloud platform,Europe,Netherlands,Utrecht,52.0823096,5.1178535,1.9,sustainable development goals,energy,energy efficiency,early growth stage,New Energy Challenge;Capricorn Partners;Helen Ventures;ENERGIIQ;HenQ,accelerator;venture_capital;corporate_venture_fund;venture_capital;venture_capital,Utrecht
ChemiTek,"Chemitek develops, produces and comercializes customized and innovative liquid solutions for industrial maintenance",Europe,Portugal,Povoa de Varzim,41.53952,-8.78156,1.12,chemical;advanced materials;industrial technology;solar energy;sustainable development goals,energy,energy efficiency,seed stage,BrainCapital;Portugal Ventures;Startup Braga,venture_capital;venture_capital;accelerator,Porto
ZE Energy,"The first solution of hybrid solar power plants that store energy, suitable for Continental Europe",Europe,France,Paris,48.8671348,2.3343079,4.0,solar energy;sustainable development goals,energy,energy storage,seed stage,High-Tech Gründerfonds;Demeter Partners;Everwatt,"venture_capital;private_equity,venture_capital;service provider",Paris
Aerones,Aerones is an innovative company that has developed robotic technology for wind turbine blade maintenance services,Europe,Latvia,Riga,56.937331,24.1797257,6.65,drones;industrial drones;sustainable development goals;wind energy;industrial technology;industrial robotics,energy,energy efficiency,early growth stage,Y Combinator;EIT InnoEnergy;Expansion Capital ;Change Ventures;Paul Buchheit;Janis Krums;Sensum Group;Future Positive Capital;Plug and Play Retailtech;Plug and Play Insurtech;Plug and Play;Bob Rode,accelerator;accelerator;venture_capital;venture_capital;angel;angel;venture_capital;investment fund;accelerator;accelerator;accelerator;angel,Riga
SunChip Projects B.V.,"Solar Application Lab: Endless energy, infinite applications",Europe,Netherlands,Enschede,52.2623768,6.7917415,2.57,solar energy;sustainable development goals;affordable and clean energy (#7),energy,clean energy,seed stage,European Innovation Council;Oost NL,government;venture_capital,Enschede
BIOCEANOR,BIOCEANOR has developed the first underwater weather station for real time and predictive monitoring of water quality,Europe,France,Nice,43.6424,7.00984,1.5,monitoring;vivatech2019;natural resources;fish;pollution;marine;clean water and sanitation (#6);life below water (#14);sustainable development goals;core sustainable impact;farming;space tech,energy,water,early growth stage,Région Sud Investissement;Inventures Investment Partners;Blue Oceans Partners,venture_capital;venture_capital;venture_capital,Nice
Hydrogenious LOHC Technologies,Develops a new technology for hydrogen storage in Liquid Organic Hydrogen Carriers (LOHC),Europe,Germany,Nuremberg,49.56363,10.98685,19.28,hydrogen;sustainable development goals;core sustainable impact;affordable and clean energy (#7);sustainable cities and communities (#11);climate action (#13),energy,energy storage,early growth stage,European Innovation Council;Anglo American;Vopak;Mitsubishi Corporation;Covestro;AP Ventures;Hyundai Motor Company,government;corporate;corporate;corporate;corporate;venture_capital;corporate,Stuttgart
Wattalps,Advanced Lithium Power Systems,Europe,France,Grenoble,45.3209233,5.5934525,6.38,lithium ion batteries;battery;ev battery tech;bms,energy,energy storage,seed stage,Bpifrance;EIT InnoEnergy;European Innovation Council,venture_capital;accelerator;government,Grenoble
NeoZeo AB,Innovative solutions for small-scale biogas upgrading using vacuum pressure swing absorption (vpsa) and novel absorbents,Europe,Sweden,Stockholm,59.362929,18.057546,1.45,biofuel;oil & gas,energy,,seed stage,Imprimatur Capital Fund Management - ICFM;European Innovation Council,venture_capital;government,Stockholm
Tusti,Innovative washing process for recycling of greasy mixed plastics by using bio-based cleaning liquids in order to later obtain high grade resins for packaging manufacturing and civil and construction engineering,Europe,Netherlands,Eindhoven,51.4498834,5.49208,3.05,recycling;waste reduction;plastic;waste management;sustainable development goals;chemical technology,energy,waste solution,seed stage,European Innovation Council,government,Eindhoven
RanMarine Technology,Aqua-drones that fight plastic pollution & gather environmental data,Europe,Netherlands,Rotterdam,51.8907725,4.4273885,1.64,recycling;drones;plastic;pollution;sustainable development goals;industrial technology;industrial robotics;sea and subsea robots,energy,waste solution,early growth stage,European Innovation Council;Boundary Holding;PortXL,government;venture_capital;accelerator,Rotterdam
Brite Solar,Brite Solar is a nanomaterials company utilizing innovative materials and deposition techniques to deliver a new class of glass materials for building construction,Europe,Netherlands,Venlo,51.4065041,6.1227403,10.18,solar energy;office space;sustainable development goals;affordable and clean energy (#7),energy,clean energy,early growth stage,Startupbootcamp;European Innovation Council;Rainmaking,accelerator;government;venture_capital,Eindhoven
HySiLabs,HySiLabs delivers a hydrogen transportation solution: an innovative hydrogen liquid carrier,Europe,France,Marseille,43.492769,5.33309,4.64,vivatech2019;fuel;hydrogen;sustainable development goals;affordable and clean energy (#7);sustainable cities and communities (#11);climate action (#13);core sustainable impact,energy,clean energy,early growth stage,European Innovation Council;Région Sud Investissement;Bpifrance;EIT InnoEnergy;Turenne Capital;Rhone-Alpes Creation,government;venture_capital;venture_capital;accelerator;venture_capital;venture_capital,Marseille
Planet Care,A solution that can massively improve the quality of water and so far the only built-in system that prevents the microfibres to be released into washing machine wastewater and enter the environment,Europe,Slovenia,Ljubljana,46.05063,14.50283,1.59,sustainable development goals;responsible consumption and production (#12);life below water (#14);clean water and sanitation (#6);core sustainable impact,energy,water,seed stage,European Innovation Council;Fashion For Good,government;corporate,Ljubljana
Electrochaea,Power-to-Gas Energy Storage via Biological Catalysis,Europe,Germany,Munich,48.1108814,11.4322788,17.72,storage;biotechnology;investing;polymer;sustainability;sustainable development goals,energy,energy storage,early growth stage,btov Partners;Munich Venture Partners;KFW;Sirius Venture Partners GmbH;Caliza Holding;European Innovation Council,venture_capital;venture_capital;investment fund;venture_capital;family_office;government,Munich
Cemgreen,Clay and shale based solutions for cheaper and greener cement production.,Europe,Denmark,Copenhagen,55.6569606,12.0903485,5.52,sustainable development goals;sustainable cement,energy,clean energy,seed stage,European Innovation Council,government,Copenhagen
Syntoil,Transforming contaminated soot from batch pyrolysis process into tailor-made recovered Carbon Black,Europe,Poland,Wroclaw,51.098859,17.0267587,3.3,recycling;sustainable development goals;core sustainable impact;sustainable cities and communities (#11);climate action (#13),energy,waste solution,seed stage,TDJ Pitango;IMPACT POLAND;European Innovation Council;TDJ,venture_capital;accelerator;government;family_office,Wroclaw
Beridi Maritime,Beridi developed and patented a highly innovative concrete-based platform for the safest and most efficient installation of offshore wind turbines,Europe,Spain,Madrid,40.492663,-3.7063092,8.21,wind energy;sustainable development goals;maritime,energy,clean energy,seed stage,European Innovation Council;CDTI;European Commission,government;venture_capital;investment fund,Madrid
KoalaLifter,KoalaLifter is a self-climbing system that uses the strength of the wind turbine tower as support to climb up the turbine,Europe,Spain,Pamplona,42.82302,-1.57794,2.6,wind energy;sustainable development goals;affordable and clean energy (#7);climate action (#13),energy,clean energy,seed stage,European Innovation Council,government,Bilbao
Aton Storage,Engineering and production of electricity storage systems from renewable sources,Europe,Italy,Bologna,44.5325046,11.0164852,1.5,sustainable development goals;core sustainable impact;climate action (#13);affordable and clean energy (#7),energy,energy storage,seed stage,Intesa Sanpaolo;Enel,corporate;corporate,Milan
Saltkraft ApS,First commercial energy production technology based on osmosis,Europe,Denmark,Sønderborg,54.9295223,9.8669547,4.82,core sustainable impact;sustainable development goals;affordable and clean energy (#7);climate action (#13);nordic impact 2021,energy,water,seed stage,European Innovation Council,government,Odense
Solaris Offgrid,Reduces energy poverty in Africa thanks to its integrated affordable rural energy solution,Europe,Spain,Valencia,39.4699075,-0.3762881,1.09,sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,energy efficiency,early growth stage,EIT Climate-KIC;KissKissBankBank;emaze;Zubi Labs;GAIA impact fund;Renovafrica;EIT InnoEnergy,accelerator;crowdfunding;corporate;venture_capital;venture_capital;venture_capital;accelerator,Valencia
I-Ten,Simplifies the problem of micro-energy storage in the heart of autonomous circuits,Europe,France,Lyon,45.8129086,4.7619016,20.2,storage;circuit;battery;sensor;sustainable development goals;lithium ion batteries;affordable and clean energy (#7);climate action (#13),energy,energy storage,early growth stage,Kreaxi;Eren Groupe;Habert Dassault Finance;Innovacom;Demeter Partners;Rhone-Alpes Creation,"venture_capital;corporate;venture_capital;venture_capital;private_equity,venture_capital;venture_capital",Lyon
EkWateur,Renewable electricity and gas provider,Europe,France,Paris,48.8753655,2.3405004,15.94,vivatech2019;oil & gas;sustainable development goals;core sustainable impact;environmental consulting;retail;affordable and clean energy (#7);climate action (#13),energy,clean energy,late growth stage,Lumo France;Aster Capital;BNP Paribas;Bouygues Telecom Initiatives;Sowefund;Aster;BNP Paribas Développement;Mantu;Mirai Venture;Smartangels;Bouygues Developpement;Vincent Guiheneuc,venture_capital;venture_capital;corporate;venture_capital;crowdfunding;corporate;corporate_venture_fund;corporate;corporate;crowdfunding;venture_capital;angel,Paris
HPNow,"Developed a clean method of generating hydrogen peroxide using only water, air, and electricity",Europe,Denmark,Copenhagen,55.6990434,12.5560737,1.79,livestock;aquaculture;agritech;water treatment;sustainable development goals;hydrogen;nordic impact 2021,energy,water,early growth stage,Eurostars SME programme;European Innovation Council,government;government,Copenhagen
Qarnot,Q.rad - the first computing heater embedding microprocessors as a heat source,Europe,France,Paris,48.816363,2.317384,10.74,smart home;smart building;cloud computing;sustainable development goals;cloud infrastructure,energy,energy efficiency,early growth stage,European Innovation Council;Eurostars SME programme;Avolta Partners;Banque des Territoires;Caisse des depots;Engie Rassembleurs d’Energies;A/O Proptech;Groupe Casino;EIT Digital Accelerator,government;government;advisor;investment fund;government;venture_capital;venture_capital;corporate;accelerator,Paris
Sunfire,Develops and produces high-temperature fuel cells which facilitate the generation of electric power and heat,Europe,Germany,Dresden,51.02744,13.78711,39.0,sustainable development goals;core sustainable impact;hydrogen;affordable and clean energy (#7);climate action (#13),energy,energy storage,late growth stage,Inven Capital;Electranova Capital;Total Carbon Neutrality Ventures;Eurazeo (IdInvest Partners);Carl Berninghausen;Paul Wurth;Neste,venture_capital;corporate_venture_fund;corporate_venture_fund;venture_capital;angel;corporate;corporate,Dresden
Energiency,SaaS platform to assess and manage energy performance industrial environment,Europe,France,Rennes,48.0984544,-1.6993809,9.4,saas;monitoring;platform;verification;testing;vivatech2019;certification;sustainable development goals;environment;industry innovation and infrastructure (#9);affordable and clean energy (#7);core sustainable impact;climate action (#13);energy tech;industrial technology,energy,,early growth stage,50 Partners;ISAI;GO Capital;Epopée West Web Valley;BOOST Programs;EIT InnoEnergy;Sap.io;Encevo;KIC InnoEnergy Germany,venture_capital;venture_capital;venture_capital;venture_capital;accelerator;accelerator;accelerator;corporate;venture_capital,Rennes
Exagan,Leading supplier of gallium nitride based transistor devices,Europe,France,Grenoble,45.195612,5.710016,5.7,solar energy;supply chain management,energy,,early growth stage,CEA Investissement;IRDInov;Soitec;CM-CIC Innovation;STMicroelectronics;Turenne Capital;Innovacom,venture_capital;venture_capital;corporate;venture_capital;corporate;venture_capital;venture_capital,Grenoble
In Sun We Trust,Photovoltaic system installation and pre-installation solutions,Europe,France,Paris,48.84586,2.42452,17.14,solar energy;sustainable development goals;energy tech;industrial technology;space tech,energy,clean energy,early growth stage,Otovo;Axel Johnson,corporate;investment fund,Paris
Solytic,Making solar easy for everyone,Europe,Germany,Berlin,52.530681,13.382398,3.0,saas;solar energy;analytics;sustainable development goals;climate action (#13);affordable and clean energy (#7);core sustainable impact;energy tech;industrial technology,energy,energy efficiency,early growth stage,Vattenfall AB;EWE AG,corporate;corporate,Berlin
NAWA Technologies,"Innovative, economically competitive, reliable and environmentally friendly Ultra-Fast Carbon battery and applied nanotechnology",Europe,France,Cherbourg,49.5155633,-1.3708264,25.2,battery;sustainable development goals;ev battery other chemistry,energy,energy efficiency,early growth stage,EIT InnoEnergy;Demeter Partners;CEA Investissement;Région Sud Investissement;Eurostars SME programme;Bpifrance;CAAP Creation;Supernova Invest;Eurowatt;Turenne Capital,"accelerator;private_equity,venture_capital;venture_capital;venture_capital;government;venture_capital;venture_capital;venture_capital;corporate;venture_capital",Rennes
Ener-pacte,Secures and optimizes existing photovoltaic power plants,Europe,France,Lyon,45.7593031,4.8556114,1.2,smart grid,energy,energy efficiency,early growth stage,EIT InnoEnergy;JBC2;BCM Energy group,accelerator;corporate;corporate,Lyon
D Laboratory,"Energy technology company based at Ideon Science Park in Lund, Sweden",Europe,Sweden,Malmo,55.7156602,13.2143309,2.82,sustainable development goals;smart grid;affordable and clean energy (#7);climate action (#13);energy tech;industrial technology;nordic impact 2021,energy,energy efficiency,early growth stage,Almi Invest;Gunnar Bergstedt;Ideon Innovation,venture_capital;angel;accelerator,Malmo
Instagrid,Provider of mobile power infrastructure,Europe,Germany,Stuttgart,48.888006,9.185248,9.5,lithium ion batteries;battery;sustainable development goals;core sustainable impact;affordable and clean energy (#7),energy,energy storage,early growth stage,High-Tech Gründerfonds;Segnalita;Martin Global;SET Ventures;EIT InnoEnergy,venture_capital;venture_capital;venture_capital;venture_capital;accelerator,Stuttgart
Thermondo,Promotes the energy transition with innovative heat solutions,Europe,Germany,Berlin,52.53592,13.39767,52.9,heating;solar energy;system engineering;sustainable development goals;affordable and clean energy (#7);climate action (#13);core sustainable impact,energy,energy efficiency,late growth stage,IBB Ventures;HV Capital;E.ON;Grey Corp GmbH;Global Founders Capital;Eneco;Vorwerk Ventures;IBB;Picus Capital;Brookfield,venture_capital;venture_capital;corporate;venture_capital;venture_capital;corporate;corporate_venture_fund;venture_capital;venture_capital;venture_capital,Berlin
Aeinnova,Thermoelectric energy harvesting solutions to transform industrial waste heat into electricity for energy efficiency and self-powered wireless IoT solutions,Europe,Spain,Barcelona,41.5599803,2.0136222,6.87,industrial iot;industrial iot;sustainable development goals;core sustainable impact;eic;circular economy;affordable and clean energy (#7);climate action (#13);industrial connectivity;industrial technology,energy,clean energy,early growth stage,European Innovation Council;EIT InnoEnergy;Horizon 2020 FET (Future and Emerging Technologies);REPSOL Foundation;Banco Sabadell;European Commission;BIND 4.0 Acceleration Program;Fondo de Emprendedores (Repsol Fundacíon);Plug and Play Retailtech;Bob Rode;Plug and Play Insurtech;Plug and Play,"government;accelerator;venture_capital;corporate_venture_fund,venture_capital;corporate;investment fund;accelerator;accelerator;accelerator;angel;accelerator;accelerator",Barcelona
SmartB,Reinvents energy management in commercial buildings,Europe,Germany,Berlin,52.5095465,13.3245664,4.0,monitoring;energy saving;commerce;sustainable development goals;affordable and clean energy (#7);energy tech;industrial technology,energy,energy efficiency,early growth stage,Bilfinger Venture Capital;KFW;Phoenix Contact Innovation Ventures;PHOENIX CONTACT Cyber Security AG,venture_capital;investment fund;corporate_venture_fund;corporate,Berlin
KEYOU,"KEYOU has redesigned the traditional internal combustion engine enabling it to run on hydrogen as a sustainable and clean fuel, bringing about a quantum leap in propulsion development",Europe,Germany,Munich,48.1439745,11.5499032,7.33,sustainability;automotive;green technology;sustainable development goals;affordable and clean energy (#7);hydrogen;climate action (#13);core sustainable impact,energy,,late growth stage,European Innovation Council,government,Munich
Epishine,Use ambient or indoor lighting to power IoT sensors and other wireless products with Epishine’s light energy harvesting technology,Europe,Sweden,Linkoping,58.4047958,15.6026522,7.97,solar energy;sustainable development goals;nordic impact 2021,energy,energy efficiency,early growth stage,Almi Invest;European Innovation Council;European Commission;Beijer Venture,venture_capital;government;investment fund;venture_capital,Linkoping
C-Green,Presenting a revolutionary new way to convert wet sludge into biofuel,Europe,Sweden,Stockholm,59.3493269,18.073591,5.75,sustainable development goals;biofuel;biomass;affordable and clean energy (#7);climate action (#13);core sustainable impact;industry innovation and infrastructure (#9);responsible consumption and production (#12);recycling;waste reduction;nordic impact 2021,energy,oil & gas,early growth stage,Almi Invest,venture_capital,Stockholm
Singulus Technologies,SINGULUS TECHNOLOGIES develops and assembles innovative machines and systems for efficient and resource-saving production processes,Europe,Germany,Frankfurt am Main,50.0719,9.00389,50.69,machinery manufacturing;solar energy,energy,clean energy,late growth stage,China National Building Material,venture_capital,Frankfurt
Hycube,Hycube is an engineering world class renewable energy storage solutions,Europe,Germany,Mannheim-Ludwigshafen,49.4677562,8.506636,1.13,storage;solar energy;affordable and clean energy (#7);sustainable development goals,energy,,early growth stage,,,Heidelberg
CSN Energy,The leading SaaS platform for energy market,Europe,France,Paris,48.8752061,2.3225626,6.0,vivatech2019;platform;energy tech;industrial technology,energy,energy providers,early growth stage,Goldman Sachs Asset Management,"private_equity,venture_capital",Paris
BioBTX,"Transform non-food biomass and plastic waste into sustainable BTX, ethene and propene",Europe,Netherlands,Groningen,53.2475256,6.5300443,6.5,polymer;sustainable development goals;circular economy;biochemical;chemical;advanced materials;industrial technology;innovative material tech;polymers and polymer alternatives;chemical technology,energy,energy efficiency,seed stage,Carduso Capital;NOM;Economic Board Groningen,venture_capital;venture_capital;venture_capital,Enschede
SkySpecs,Automated infrastructure inspection,Europe,Netherlands,Amsterdam,52.3564337,4.9558425,25.91,drones;automated technology;analytics;sustainable development goals;wind energy;industrial technology;energy tech,energy,,late growth stage,Statkraft Ventures;UL Ventures;Capital Midwest Fund;Huron River Ventures;R/GA Accelerator;Endeavor Catalyst;Ann Arbor Spark;Venture Investors;McRock Capital;Techstars;Endeavor,"venture_capital;corporate_venture_fund;venture_capital;venture_capital;accelerator;venture_capital;venture_capital;venture_capital;private_equity,venture_capital;accelerator;venture_capital",Amsterdam
Envelio,Intelligent Grid Platform (IGP) for grid operators to digitalize energy planning and operation processes,Europe,Germany,Cologne,50.9409967,6.8883915,7.15,smart grid;sustainable development goals;affordable and clean energy (#7);energy tech;industrial technology;spinout,energy,energy efficiency,late growth stage,High-Tech Gründerfonds;Demeter Partners;European Innovation Council;ECapital;RWTH Aachen University,"venture_capital;private_equity,venture_capital;government;venture_capital;university",Cologne
Lumos,"Clean, affordable solar power to a market of 1.3 billion potential customers who live off the electricity grid.",Europe,Netherlands,Amsterdam,52.3178122,4.8724388,104.55,solar energy;affordable and clean energy (#7);sustainable development goals;off-grid;reduced inequalities (#10);core sustainable impact;no poverty (#1);climate action (#13),energy,energy providers,late growth stage,OPIC;Pembani Remgro;Federal government of Nigeria,venture_capital;venture_capital;government,Amsterdam
TAPP Water,Home water filtration systems,Europe,Spain,Barcelona,41.3850639,2.1734035,3.48,filtration;system engineering;water treatment;sustainable development goals;core sustainable impact;clean water and sanitation (#6);affordable and clean energy (#7);climate action (#13),energy,water,early growth stage,Primer;European Innovation Council;Bluewater;Yabeo Capital,accelerator;government;corporate;venture_capital,Barcelona
Vandebron,Allows consumers to buy renewable energy directly from suppliers,Europe,Netherlands,Amsterdam,52.3702157,4.8951679,2.0,startupamsterdam;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13);energy tech;industrial technology,energy,energy providers,late growth stage,AKEF;SHIFT Invest;Ponooc;Essent,"venture_capital;venture_capital;family_office,venture_capital;company",Amsterdam
Alerion,"Specializes in development of high-performance embedded software, computer vision applications and artificial intelligence",Europe,Spain,Donostia-San Sebastian,43.3193855,-1.9796387,2.0,autonomous vehicles;drones;navigation;space;high performance computing;vivatech2019;automotive;aviation & aerospace;embedding technology;industrial drones;industrial technology;industrial robotics;sustainable development goals;wind energy,energy,clean energy,early growth stage,European Innovation Council;EASO Ventures;Orza Investments;ESA BIC Bavaria,government;venture_capital;venture_capital;accelerator,Bilbao
Holaluz,Online electricity retailer in Spain,Europe,Spain,Barcelona,41.38065,2.18554,4.3,energy efficiency;outsourcing;retail;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13);energy tech;industrial technology,energy,energy providers,late growth stage,Axon Partners Group;ENISA,"private_equity,venture_capital;venture_capital",Barcelona
Nowi Energy,Advanced energy harvesting power management solution,Europe,Netherlands,The Hague,51.993423,4.3856069,10.5,monitoring;climate;4g;gsm;signals;internet of things;smart home;rf technology;battery;consumer electronics;semiconductor;sensor;affordable and clean energy (#7);sustainable development goals,energy,energy efficiency,early growth stage,Disruptive Technology Ventures;Netherlands Enterprise Agency (RVO),venture_capital;government,Rotterdam
Wimao Oy,Recycle otherwise non-recyclable plastic waste with Wimao technology,Europe,Finland,Lappeenranta,61.0350305,28.4204266,2.47,eic;recycling;waste reduction;sustainable development goals;nordic impact 2021;plastic;waste management,energy,waste solution,early growth stage,European Innovation Council,government,Helsinki
Abora Solar,"Design, development and manufacturing of hybrid solar panels",Europe,Spain,Saragossa,41.6158187,-1.0704062,2.46,solar energy;eic;sustainable development goals;affordable and clean energy (#7),energy,clean energy,early growth stage,EIT InnoEnergy;European Innovation Council,accelerator;government,Bilbao
Solenco Powerbox NV,Solenco Powerbox provides a one-stop solution for both heat and power needs,Europe,Belgium,Antwerp,51.3055797,4.9236658,1.96,eic;hydrogen;sustainable development goals;affordable and clean energy (#7);climate action (#13);core sustainable impact,energy,clean energy,early growth stage,European Innovation Council,government,Antwerp
Mitis S.A.,At MITIS we are committed to contribute to a cleaner world by developing clean technologies for electric power generation,Europe,Belgium,Liege,50.5894449,5.5557195,1.77,heating;eic;sustainable development goals;affordable and clean energy (#7),energy,clean energy,early growth stage,Eurostars SME programme;European Innovation Council,government;government,Liege
EMSYS,Energy & meteo systems is among the world's leading providers of renewable power forecasts and virtual power plant services,Europe,Germany,Oldenburg,53.13073,8.1563203,1.68,eic;weather forecasting;sustainable development goals;affordable and clean energy (#7),energy,clean energy,early growth stage,European Innovation Council,government,Hamburg
AddVolt,"Producing plug-in electric system targeted for transportation markets, which avoids fuel usage and reduces noise and CO2 emissions of refrigeration units during goods transportation",Europe,Portugal,Porto,41.2025667,-8.6089518,1.69,truck;storage;eic;electric vehicle;sustainable development goals;sustainable cities and communities (#11);industrial connectivity;industrial technology,energy,energy storage,early growth stage,Portugal Ventures;Abacus Alpha;2bpartner;European Innovation Council,venture_capital;venture_capital;venture_capital;government,Porto
saperatec,Offers technology for the separation of bonded and coated structures,Europe,Germany,Bielefeld,52.03564,8.53621,12.13,recycling;waste reduction;sustainable development goals;core sustainable impact;circular economy;responsible consumption and production (#12);affordable and clean energy (#7);climate action (#13);industry innovation and infrastructure (#9),energy,waste solution,seed stage,High-Tech Gründerfonds;ECAPITAL;European Innovation Council;NRW.BANK;Bmp Ventures,venture_capital;venture_capital;government;investment fund;venture_capital,Enschede
OCSiAl Group,Producing high-purity graphene nanotubes under the TUBALL™ brand name,Europe,Luxembourg,Luxembourg,49.5628625,6.0719181,123.64,nanotechnology;lithium ion batteries;sustainable development goals;advanced materials;industrial technology;innovative material tech;graphene,energy,energy efficiency,late growth stage,Rusnano;ExpoCapital;Igor Kim;A&NN,"venture_capital;private_equity,venture_capital;angel;venture_capital",Luxembourg
Accenta,ACCENTA is developing a solution that combines inter-seasonal heat storage and algorithms to reduce energy consumption and CO2 emissions,Europe,France,Paris,48.8283807,2.2396701,4.73,heating;affordable and clean energy (#7);sustainable development goals,energy,energy efficiency,early growth stage,Serena,venture_capital,Paris
Solean,We help you produce photovoltaic panels more economically with greater agility and higher yields,Europe,France,Chambery,45.646104,5.868313,2.0,solar energy;affordable and clean energy (#7);sustainable development goals,energy,clean energy,seed stage,EIT InnoEnergy;Savoie Mont Blanc Angels,accelerator;venture_capital,Grenoble
Include Ltd.,Include is a hardware startup that develops and manufactures smart street furniture,Europe,Croatia,Split,43.5466745,16.4927218,2.01,decoration;furniture;interior design;advertising;adtech;saas;internet of things;iot;sensor;smart tech;solar energy,energy,,early growth stage,Fil Rouge Capital (FRC),venture_capital,Zagreb
Enapter,Enapter makes highly efficient hydrogen generators with patented Anion Exchange Membrane (AEM) technology and Energy Management Software,Europe,Italy,Livorno,43.5688951,10.5626775,7.91,hydrogen;affordable and clean energy (#7);sustainable development goals;core sustainable impact;climate action (#13),energy,clean energy,late growth stage,Plug and Play Insurtech;Bob Rode;Plug and Play Retailtech;Plug and Play,accelerator;angel;accelerator;accelerator,Milan
Originalrepack,Reusable and returnable delivery packaging service for e-commerce,Europe,Finland,Helsinki,60.1698557,24.9383791,2.25,packaging and containers;recycling;retail;eic;plastic;circular economy;sustainable development goals;responsible consumption and production (#12);ecological;nordic impact 2021,energy,waste solution,early growth stage,European Innovation Council;Fashion For Good;Maria 01;Plug and Play;Plug and Play Retailtech;Bob Rode;Plug and Play Insurtech,government;corporate;accelerator;accelerator;accelerator;angel;accelerator,Helsinki
Crystalsol,Technological company that focusses on developing a new type of flexible photovoltaic technology,Europe,Austria,Vienna,48.1941134,16.3953555,14.42,solar energy;eic;sustainable development goals;affordable and clean energy (#7),energy,clean energy,early growth stage,European Innovation Council;Conor Venture Partners;Arax Capital Partners;Norwegian Venture Capital;Energy Future Invest,"government;venture_capital;venture_capital;private_equity,venture_capital;venture_capital",Vienna
Norsepower Oy,Norsepower Rotor Sails harness wind energy for global commercial shipping fleet,Europe,Finland,Helsinki,60.1621588,24.9012453,18.54,wind energy;sustainable development goals;core sustainable impact;marine;affordable and clean energy (#7);climate action (#13);industry innovation and infrastructure (#9);life below water (#14);maritime;nordic impact 2021,energy,clean energy,early growth stage,European Innovation Council;VNT Management;Korkia;Finnvera Venture Capital;OGCI Climate Investments;Business Finland;European Commission,government;venture_capital;service provider;corporate_venture_fund;corporate_venture_fund;venture_capital;investment fund,Helsinki
Ampler Bikes,Light Electric Bikes for Urban Cyclists,Europe,Estonia,Tallinn,59.4402061,24.730356,3.0,sustainable development goals;consumer electronics;electric vehicle;affordable and clean energy (#7);climate action (#13),energy,mobility,early growth stage,Fundwise crowdfunding;Funderbeam,venture_capital;crowdfunding,Tallinn
Ilek,Leading electricity supplier that directly connects renewable energy producers and consumers,Europe,France,Toulouse,43.5998979,1.4431481,6.0,platform;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,energy providers,late growth stage,Alter Equity;Kima Ventures,"private_equity,venture_capital;venture_capital",Toulouse
Soto Solar,"Dedicated to harvesting the sun's energy by developing, financing and managing solar power plants",Europe,Spain,Madrid,40.4167754,-3.7037902,100.0,solar energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,clean energy,early growth stage,,,Madrid
Mobisol,Stimulates economic and social development in project countries while simultaneously contributing to global environmental protection,Europe,Germany,Berlin,52.500332,13.436038,14.55,protection;remote monitoring;engineering services;innovation management;solar energy;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13),energy,clean energy,late growth stage,Finnfund;Engie,government;corporate,Berlin
Save by Solar,"Creating simple, profitable and secure solutions for producing and consuming renewable energy",Europe,Sweden,Uppsala,59.86639,17.660978,1.2,solar energy;trading platform;sustainable development goals;core sustainable impact;affordable and clean energy (#7);climate action (#13);sustainable cities and communities (#11);responsible consumption and production (#12);nordic impact 2021,energy,clean energy,late growth stage,BLUE,service provider,Uppsala
